,,,purchased_price,produced_price
Ashanti,Fish (canned),Heap,2.0,
Ashanti,Fish (canned),Margarin tin,3.0,
Ashanti,Fish (canned),Piece,3.0,
Ashanti,Fish (canned),Pound,2.5,
Ashanti,Fish (canned),Satchet,1.5,
Ashanti,Fish (canned),Single,2.5,
Ashanti,Fish (canned),Tin,2.5,
Ashanti,Fish (dried),Fingers,3.0,
Ashanti,Fish (dried),Gram,2.0,
Ashanti,Fish (dried),Heap,2.0,
Ashanti,Fish (dried),Millilitre,2.0,
Ashanti,Fish (dried),Piece,0.5,
Ashanti,Fish (dried),Pound,2.3333333333333335,
Ashanti,Fish (dried),Rolls,2.0,
Ashanti,Fish (dried),Single,1.6666666666666667,
Ashanti,Fish (fried),American Tin (Olonka),20.0,
Ashanti,Fish (fried),Bowl,5.0,
Ashanti,Fish (fried),Fingers,1.0,
Ashanti,Fish (fried),Gram,1.0,
Ashanti,Fish (fried),Heap,2.0,
Ashanti,Fish (fried),Margarin tin,10.0,
Ashanti,Fish (fried),Piece,1.0,
Ashanti,Fish (fried),Single,2.0,
Ashanti,Fish (salted),American Tin (Olonka),1.0,
Ashanti,Fish (salted),Bowl,2.0,
Ashanti,Fish (salted),Fingers,3.0,
Ashanti,Fish (salted),Gram,1.0,
Ashanti,Fish (salted),Heap,1.0,
Ashanti,Fish (salted),Millilitre,1.0,
Ashanti,Fish (salted),Piece,0.6,
Ashanti,Fish (salted),Single,0.9166666666666667,
Ashanti,"Fish (smoked, river)",American Tin (Olonka),20.0,
Ashanti,"Fish (smoked, river)",Bowl,6.0,
Ashanti,"Fish (smoked, river)",Fingers,5.0,
Ashanti,"Fish (smoked, river)",Gram,3.0,
Ashanti,"Fish (smoked, river)",Heap,5.0,
Ashanti,"Fish (smoked, river)",Margarin tin,2.0,
Ashanti,"Fish (smoked, river)",Millilitre,5.0,
Ashanti,"Fish (smoked, river)",Other unit,3.0,
Ashanti,"Fish (smoked, river)",Piece,2.833333333333333,
Ashanti,"Fish (smoked, river)",Single,5.0,
Ashanti,"Fish (smoked, sea)",American Tin (Olonka),5.0,
Ashanti,"Fish (smoked, sea)",Basket,35.0,
Ashanti,"Fish (smoked, sea)",Bowl,9.0,
Ashanti,"Fish (smoked, sea)",Fingers,7.5,
Ashanti,"Fish (smoked, sea)",Gram,2.0,
Ashanti,"Fish (smoked, sea)",Heap,10.0,
Ashanti,"Fish (smoked, sea)",Millilitre,2.5,
Ashanti,"Fish (smoked, sea)",Other unit,2.0,
Ashanti,"Fish (smoked, sea)",Piece,1.5833333333333335,
Ashanti,"Fish (smoked, sea)",Pound,10.0,
Ashanti,"Fish (smoked, sea)",Single,2.5,
