,,,purchased_price,produced_price
Northern,Cocoa (milk powder beverages),Satchet,1.0,
Northern,Cocoa (milk powder beverages),Single,1.0,
Northern,Cocoa (milk powder beverages),Tin,11.0,
Northern,Cocoa Powder,Gram,0.016,
Northern,Cocoa Powder,Set,0.015483870967741935,
Northern,Cocoa Powder,Single,0.25,
Northern,Cocoa Powder,Tin,13.0,
Northern,Coconut (dried),Piece,1.0,
Northern,Coconut (dried),Single,1.5,
Northern,Coconut (fresh),Balls,0.2,
Northern,Coconut (fresh),Piece,1.0,
Northern,Coconut (fresh),Single,2.0,
Northern,Cocoyam,Heap,,4.5
Northern,Cocoyam,Tubers,2.5,
Northern,Cocoyam Leaves,Basket,5.0,
Northern,Cocoyam Leaves,Bowl,10.0,
Northern,Cocoyam Leaves,Bunch,1.0,
Northern,Cocoyam Leaves,Bundle,1.0,
Northern,Cocoyam Leaves,Heap,1.0,
Northern,Cocoyam Leaves,Mini bag,3.0,
Northern,Cocoyam Leaves,Other unit,1.0,
Northern,Cocoyam Leaves,Packet,1.0,
Northern,Cocoyam Leaves,Piece,1.0,
Northern,Cocoyam Leaves,Set,1.0,
Northern,Cocoyam Leaves,Tin,7.0,
Northern,Coffee,Box/Carton,5.0,
Northern,Coffee,Bundle,1.0,
Northern,Coffee,Heap,2.0,
Northern,Coffee,Other unit,1.0,
Northern,Coffee,Packet,5.0,
Northern,Coffee,Piece,1.0,
Northern,Coffee,Satchet,1.0,
Northern,Coffee,Single,0.7,
Northern,Coffee,Tin,3.0,
Northern,Condiments,American Tin (Olonka),5.5,
Northern,Condiments,Balls,0.18333333333333335,
Northern,Condiments,Beer bottle,2.5,
Northern,Condiments,Blister / Strip,0.16666666666666666,
Northern,Condiments,Bowl,8.0,
Northern,Condiments,Box/Carton,8.5,
Northern,Condiments,Bunch,5.0,
Northern,Condiments,Bundle,1.0,
Northern,Condiments,Dozen,2.5,
Northern,Condiments,Heap,0.5,
Northern,Condiments,Litres,3.0,
Northern,Condiments,Margarin tin,7.0,
Northern,Condiments,Millilitre,0.16666666666666666,
Northern,Condiments,Other unit,0.5,
Northern,Condiments,Packet,8.0,
Northern,Condiments,Piece,0.16666666666666666,
Northern,Condiments,Pot,0.5,
Northern,Condiments,Satchet,5.0,
Northern,Condiments,Set,0.5,
Northern,Condiments,Single,0.16666666666666666,
Northern,Condiments,Tin,0.3,
Northern,Corflake,Box/Carton,25.0,
Northern,Cowpea,American Tin (Olonka),6.0,7.5
Northern,Cowpea,Balls,2.0,
Northern,Cowpea,Beer bottle,10.0,
Northern,Cowpea,Bowl,7.0,6.0
Northern,Cowpea,Bundle,2.0,
Northern,Cowpea,Gram,1.4372670807453416,
Northern,Cowpea,Heap,2.0,
Northern,Cowpea,Litres,8.0,
Northern,Cowpea,Margarin tin,2.0,2.0
Northern,Cowpea,Mini bag,92.5,
Northern,Cowpea,Other unit,1.0,
Northern,Cowpea,Piece,2.0,
Northern,Cowpea,Satchet,1.0,
Northern,Cowpea,Set,2.0,
Northern,Crab,Other unit,5.0,
Northern,Curry Power,Bundle,5.0,
Northern,Curry Power,Packet,3.0,
Northern,Curry Power,Piece,0.5,
Northern,Curry Power,Satchet,0.5,
Northern,Curry Power,Single,0.5,
Northern,Dawadawa,American Tin (Olonka),5.0,
Northern,Dawadawa,Balls,1.0,1.0
Northern,Dawadawa,Bar,1.0,
Northern,Dawadawa,Bowl,5.0,
Northern,Dawadawa,Bunch,1.25,
Northern,Dawadawa,Bundle,1.0,
Northern,Dawadawa,Heap,1.0,
Northern,Dawadawa,Maxi bag,0.2,
Northern,Dawadawa,Other unit,1.0,
Northern,Dawadawa,Packet,2.0,
Northern,Dawadawa,Piece,0.5,
Northern,Dawadawa,Pound,1.0,
Northern,Dawadawa,Satchet,1.0,
Northern,Dawadawa,Set,1.25,
Northern,Dawadawa,Single,1.0,
Northern,Eggplant,American Tin (Olonka),5.0,
Northern,Eggplant,Bowl,7.0,1.75
Northern,Eggplant,Bucket,20.0,
Northern,Eggplant,Bundle,1.0,
Northern,Eggplant,Heap,1.0,4.5
Northern,Eggplant,Margarin tin,1.0,
Northern,Eggplant,Other unit,1.5,
Northern,Eggplant,Piece,0.2,
Northern,Eggplant,Single,0.25,
Northern,Eggplant Leaf,Heap,,0.550000011920929
Northern,Eggs,Balls,0.6499999999999999,
Northern,Eggs,Beer bottle,5.0,
Northern,Eggs,Crate,15.0,12.5
Northern,Eggs,Heap,,2.4
Northern,Eggs,Litres,0.5,
Northern,Eggs,Piece,0.5,
Northern,Eggs,Single,0.7321428571428572,0.5
Northern,Fish (canned),Other unit,3.0,
Northern,Fish (canned),Piece,2.5,
Northern,Fish (canned),Single,2.5,
Northern,Fish (canned),Tin,2.5,
Northern,Fish (dried),Bowl,2.5,
Northern,Fish (dried),Piece,1.0,
Northern,Fish (dried),Single,1.3181818181818181,
Northern,Fish (fried),Bowl,22.5,
Northern,Fish (fried),Box/Carton,26.25,
Northern,Fish (fried),Bundle,2.0,
Northern,Fish (fried),Fingers,3.0,
Northern,Fish (fried),Heap,2.5,
Northern,Fish (fried),Kilogram,13.333333333333334,
Northern,Fish (fried),Other unit,1.3333333333333335,
Northern,Fish (fried),Piece,1.375,
Northern,Fish (fried),Pound,5.0,
Northern,Fish (fried),Satchet,2.0,
Northern,Fish (fried),Single,1.0,
Northern,Fish (fried),Tubers,5.0,
Northern,Fish (salted),Heap,6.0,
Northern,Fish (salted),Piece,1.0833333333333335,
Northern,Fish (salted),Single,1.25,
Northern,"Fish (smoked, river)",American Tin (Olonka),7.083333333333334,
Northern,"Fish (smoked, river)",Bowl,10.0,
Northern,"Fish (smoked, river)",Box/Carton,8.0,
Northern,"Fish (smoked, river)",Bundle,2.0,
Northern,"Fish (smoked, river)",Fingers,3.3333333333333335,
Northern,"Fish (smoked, river)",Heap,5.0,
Northern,"Fish (smoked, river)",Kilogram,6.666666666666667,
Northern,"Fish (smoked, river)",Margarin tin,5.0,
Northern,"Fish (smoked, river)",Mini bag,7.5,
Northern,"Fish (smoked, river)",Other unit,2.5,
Northern,"Fish (smoked, river)",Piece,1.6666666666666667,
Northern,"Fish (smoked, river)",Pound,5.0,
Northern,"Fish (smoked, river)",Satchet,2.0,
Northern,"Fish (smoked, river)",Set,4.25,
Northern,"Fish (smoked, river)",Single,2.5,
Northern,"Fish (smoked, sea)",American Tin (Olonka),5.0,
Northern,"Fish (smoked, sea)",Bowl,10.0,
Northern,"Fish (smoked, sea)",Bundle,5.0,
Northern,"Fish (smoked, sea)",Heap,2.5,
Northern,"Fish (smoked, sea)",Other unit,2.0,
Northern,"Fish (smoked, sea)",Piece,1.625,
Northern,"Fish (smoked, sea)",Set,3.0,
Northern,"Fish (smoked, sea)",Single,2.0,
Northern,Garlic,Balls,0.5,
Northern,Garlic,Bunch,1.0,
Northern,Garlic,Bundle,1.0,
Northern,Garlic,Heap,1.0,
Northern,Garlic,Maxi bag,0.5,
Northern,Garlic,Other unit,1.0,
Northern,Garlic,Packet,5.0,
Northern,Garlic,Piece,1.0,
Northern,Garlic,Rolls,16.0,
Northern,Garlic,Satchet,0.5,
Northern,Garlic,Set,1.0,
Northern,Garlic,Single,1.0,
Northern,Gin,Beer bottle,7.5,
Northern,Gin,Bowl,0.5,
Northern,Gin,Dozen,7.0,
Northern,Gin,Fanta bottle,3.25,
Northern,Gin,Other unit,1.0,
Northern,Gin,Piece,6.5,
Northern,Gin,Satchet,0.5,
Northern,Gin,Single,8.0,
Northern,Gin,Tot (25mls),0.5,
Northern,Ginger,1000 kg /metric tonnes/tonnes,4.0,
Northern,Ginger,Balls,1.25,
Northern,Ginger,Bowl,11.0,
Northern,Ginger,Bucket,20.0,
Northern,Ginger,Bunch,1.0,
Northern,Ginger,Bundle,1.0,
Northern,Ginger,Heap,1.0,
Northern,Ginger,Margarin tin,1.75,
Northern,Ginger,Other unit,1.0,
Northern,Ginger,Piece,0.25,
Northern,Ginger,Satchet,0.8,
Northern,Ginger,Set,0.5,
Northern,Ginger,Single,0.5,
Northern,Ginger,Tin,1.0,
Northern,Goat,1000 kg /metric tonnes/tonnes,10.75,
Northern,Goat,Bowl,10.0,
Northern,Goat,Heap,5.0,5.0
Northern,Goat,Kilogram,10.0,5.0
Northern,Goat,Litres,1.0,
Northern,Goat,Mini bag,5.0,
Northern,Goat,Other unit,0.5,
Northern,Goat,Piece,0.5,
Northern,Goat,Pound,8.0,3.0
Northern,Goat,Satchet,5.0,
Northern,Goat,Single,75.0,100.0
Northern,Groundnut,American Tin (Olonka),10.0,8.0
Northern,Groundnut,Balls,0.5,
Northern,Groundnut,Beer bottle,12.333333333333334,
Northern,Groundnut,Bowl,7.0,7.0
Northern,Groundnut,Bucket,30.0,
Northern,Groundnut,Bundle,1.0,
Northern,Groundnut,Gram,0.02,
Northern,Groundnut,Heap,1.0,1.5
Northern,Groundnut,Margarin tin,2.0,2.0
Northern,Groundnut,Maxi bag,60.0,
Northern,Groundnut,Mini bag,1.0,
Northern,Groundnut,Other unit,1.0,
Northern,Groundnut,Piece,1.0,
Northern,Groundnut,Pound,0.5,
Northern,Groundnut,Satchet,1.0,
Northern,Groundnut,Single,2.0,
Northern,Groundnut,Tin,1.0,
Northern,Guinea corn/sorghum,American Tin (Olonka),3.0,4.0
Northern,Guinea corn/sorghum,Bowl,4.0,4.0
Northern,Guineafowl,1000 kg /metric tonnes/tonnes,15.0,
Northern,Guineafowl,Piece,25.0,
Northern,Guineafowl,Single,20.0,20.0
Northern,Herring (smoked),1000 kg /metric tonnes/tonnes,8.0,
Northern,Herring (smoked),American Tin (Olonka),15.0,
Northern,Herring (smoked),Bowl,12.0,
Northern,Herring (smoked),Bundle,2.0,
Northern,Herring (smoked),Heap,1.0,
Northern,Herring (smoked),Margarin tin,2.5,
Northern,Herring (smoked),Other unit,2.0,
Northern,Herring (smoked),Packet,10.0,
Northern,Herring (smoked),Piece,1.1,
Northern,Herring (smoked),Pound,1.5,
Northern,Herring (smoked),Satchet,1.0,
Northern,Herring (smoked),Single,2.0,
Northern,Honey,Beer bottle,15.0,
Northern,Honey,Fanta bottle,5.0,
Northern,Honey,Litres,25.0,
Northern,Honey,Margarin tin,5.75,
Northern,Honey,Millilitre,0.054,
Northern,Honey,Other unit,10.0,
Northern,Honey,Piece,2.0,
Northern,Honey,Single,5.0,
Northern,Ice Cream,Bowl,32.0,
Northern,Ice Cream,Piece,1.0,
Northern,Ice Cream,Satchet,1.0,
Northern,Ice Cream,Single,1.0,
Northern,Instant Noodle,Box/Carton,32.0,
Northern,Instant Noodle,Packet,1.2,
Northern,Instant Noodle,Satchet,5.0,
Northern,Instant Noodle,Single,1.0,
Northern,Juice,Box/Carton,7.0,
Northern,Juice,Fanta bottle,0.6,
Northern,Juice,Litres,11.5,
Northern,Juice,Millilitre,5.75,
Northern,Juice,Packet,8.0,
Northern,Juice,Piece,1.65,
Northern,Juice,Satchet,0.5,
Northern,Juice,Single,2.0,
Northern,Jute Leaf,Bowl,,3.0
Northern,Jute Leaf,Bundle,,1.0
Northern,Jute Leaf,Heap,,1.0
Northern,Kapla,American Tin (Olonka),22.5,
Northern,Kapla,Bowl,9.589041095890412,
Northern,Kapla,Fingers,1.0,
Northern,Kapla,Heap,5.0,
Northern,Kapla,Kilogram,11.25,
Northern,Kapla,Other unit,2.0,
Northern,Kapla,Piece,1.8333333333333335,
Northern,Kapla,Pound,4.366666666666667,
Northern,Kapla,Single,1.6666666666666667,
Northern,Lime,Bundle,1.0,
Northern,Macaroni,Packet,2.0,
Northern,Macaroni,Satchet,3.0,
Northern,Mackerel (processed),Box/Carton,160.0,
Northern,Mackerel (processed),Margarin tin,4.0,
Northern,Mackerel (processed),Millilitre,2.5,
Northern,Mackerel (processed),Piece,2.5,
Northern,Mackerel (processed),Single,3.0,
Northern,Mackerel (processed),Tin,3.0,
Northern,Maize (cob),American Tin (Olonka),,2.5
Northern,Maize (cob),Bowl,,3.0
Northern,Maize (cob),Single,,0.5
Northern,Maize (flour/dough),American Tin (Olonka),,4.0
Northern,Maize (flour/dough),Balls,2.0,19.0
Northern,Maize (flour/dough),Bowl,5.0,3.0
Northern,Maize (flour/dough),Heap,2.0,
Northern,Maize (grain),American Tin (Olonka),3.0,
Northern,Maize (grain),Bowl,3.0,
Northern,Maizena,Tin,12.0,
Northern,Malt Drinks (bottle),Beer bottle,2.5,
Northern,Malt Drinks (bottle),Bowl,1.3333333333333333,
Northern,Malt Drinks (bottle),Box/Carton,20.0,
Northern,Malt Drinks (bottle),Crate,16.5,
Northern,Malt Drinks (bottle),Fanta bottle,2.5,
Northern,Malt Drinks (bottle),Fingers,3.0,
Northern,Malt Drinks (bottle),Loaf,2.5,
Northern,Malt Drinks (bottle),Other unit,2.5,
Northern,Malt Drinks (bottle),Packet,17.75,
Northern,Malt Drinks (bottle),Piece,2.5,
Northern,Malt Drinks (bottle),Satchet,2.5,
Northern,Malt Drinks (bottle),Single,2.5,
Northern,Malt Drinks (bottle),Tin,2.5,
Northern,Malt Drinks (bottle),Tubers,72.0,
Northern,Malt Drinks (canned),1000 kg /metric tonnes/tonnes,3.0,
Northern,Malt Drinks (canned),Box/Carton,30.0,
Northern,Malt Drinks (canned),Crate,37.0,
Northern,Malt Drinks (canned),Fanta bottle,2.75,
Northern,Malt Drinks (canned),Millilitre,3.0,
Northern,Malt Drinks (canned),Other unit,3.0,
Northern,Malt Drinks (canned),Packet,24.75,
Northern,Malt Drinks (canned),Piece,3.0,
Northern,Malt Drinks (canned),Single,3.0,
Northern,Malt Drinks (canned),Tin,3.0,
Northern,Mango,Balls,0.15476190476190477,
Northern,Mango,Basket,5.0,
Northern,Mango,Bowl,2.25,
Northern,Mango,Bundle,1.0,
Northern,Mango,Heap,1.0,
Northern,Mango,Piece,0.1,
Northern,Mango,Single,0.25,2.0
Northern,Margarine,Beer bottle,5.166666666666666,
Northern,Margarine,Bundle,0.4,
Northern,Margarine,Fanta bottle,2.0,
Northern,Margarine,Heap,0.5,
Northern,Margarine,Margarin tin,6.0,
Northern,Margarine,Other unit,15.0,
Northern,Margarine,Piece,5.0,
Northern,Margarine,Satchet,5.0,
Northern,Margarine,Tin,30.0,
Northern,Milk (evaporated),Bar,3.0,
Northern,Milk (evaporated),Box/Carton,33.333333333333336,
Northern,Milk (evaporated),Crate,72.0,
Northern,Milk (evaporated),Gram,0.009302325581395349,
Northern,Milk (evaporated),Heap,3.0,
Northern,Milk (evaporated),Other unit,2.5,
Northern,Milk (evaporated),Packet,1.0,
Northern,Milk (evaporated),Piece,3.0,
Northern,Milk (evaporated),Satchet,1.0,
Northern,Milk (evaporated),Single,3.0,
Northern,Milk (evaporated),Tin,3.0,
Northern,Milk (fresh),Beer bottle,1.0,2.0
Northern,Milk (fresh),Bowl,0.5,3.0
Northern,Milk (fresh),Box/Carton,2.0,
Northern,Milk (fresh),Fanta bottle,1.0,3.0
Northern,Milk (fresh),Heap,0.5,
Northern,Milk (fresh),Litres,1.5833333333333335,3.0
Northern,Milk (fresh),Margarin tin,0.5,
Northern,Milk (fresh),Other unit,0.5,
Northern,Milk (fresh),Tin,0.5,
Northern,Milk (powdered),Blister / Strip,1.0,
Northern,Milk (powdered),Bundle,0.5,
Northern,Milk (powdered),Gram,0.02,
Northern,Milk (powdered),Heap,0.5,
Northern,Milk (powdered),Margarin tin,6.75,
Northern,Milk (powdered),Mini bag,0.5,
Northern,Milk (powdered),Other unit,0.2,
Northern,Milk (powdered),Packet,3.5,
Northern,Milk (powdered),Piece,0.5,
Northern,Milk (powdered),Satchet,1.0,
Northern,Milk (powdered),Single,1.0,
Northern,Milk (powdered),Tin,26.5,
Northern,"Milk (tinned, condensed)",Gram,8.0,
Northern,"Milk (tinned, condensed)",Satchet,1.0,
Northern,"Milk (tinned, condensed)",Single,6.666666666666666,
Northern,"Milk (tinned, condensed)",Tin,6.0,
Northern,Millet,American Tin (Olonka),3.5,4.0
Northern,Millet,Bowl,4.0,4.0
Northern,Millet (flour),American Tin (Olonka),3.5,6.0
Northern,Millet (flour),Bowl,4.0,4.0
Northern,Oil (coconut),Beer bottle,4.0,
Northern,Oil (coconut),Fanta bottle,2.5,
Northern,Oil (coconut),Litres,1.25,
Northern,Oil (coconut),Mini bag,1.0,
Northern,Oil (groundnut),Beer bottle,4.0,5.0
Northern,Oil (groundnut),Bowl,4.0,
Northern,Oil (groundnut),Bundle,1.0,
Northern,Oil (groundnut),Fanta bottle,2.0,3.0
Northern,Oil (groundnut),Litres,2.75,3.0
Northern,Oil (groundnut),Mini bag,1.0,
Northern,Oil (groundnut),Other unit,2.0,
Northern,Oil (groundnut),Piece,2.0,
Northern,Oil (groundnut),Satchet,1.0,
Northern,Oil (groundnut),Tin,3.0,
Northern,Oil (palm kernel),Beer bottle,5.0,
Northern,Oil (palm kernel),Fanta bottle,2.0,
Northern,Oil (palm kernel),Other unit,13.5,
Northern,Oil (palm),Beer bottle,4.0,8.0
Northern,Oil (palm),Bundle,0.5,
Northern,Oil (palm),Fanta bottle,2.5,
Northern,Oil (palm),Heap,1.0,
Northern,Oil (palm),Litres,5.857142857142858,
Northern,Oil (palm),Millilitre,0.0013333333333333333,
Northern,Oil (palm),Other unit,1.0,
Northern,Oil (palm),Piece,8.0,
Northern,Oil (palm),Satchet,1.0,
Northern,Oil (palm),Single,25.0,
Northern,Oil (palm),Stick,2.6666666666666665,
Northern,Oil (palm),Tot (25mls),0.1625,
Northern,Oil (vegetable),Beer bottle,5.0,
Northern,Oil (vegetable),Bowl,5.0,
Northern,Oil (vegetable),Bundle,1.0,
Northern,Oil (vegetable),Fanta bottle,2.0,
Northern,Oil (vegetable),Heap,2.0,
Northern,Oil (vegetable),Litres,6.0,
Northern,Oil (vegetable),Loaf,4.25,
Northern,Oil (vegetable),Margarin tin,2.0,
Northern,Oil (vegetable),Millilitre,0.012,
Northern,Oil (vegetable),Mini bag,1.0,
Northern,Oil (vegetable),Other unit,1.0,
Northern,Oil (vegetable),Piece,1.0,
Northern,Oil (vegetable),Satchet,1.0,
Northern,Oil (vegetable),Single,8.0,
Northern,Oil (vegetable),Tin,0.7,
Northern,Oil (vegetable),Tot (25mls),0.6,
Northern,Okra,American Tin (Olonka),7.0,
Northern,Okra,Balls,2.0,
Northern,Okra,Basket,0.14285714285714285,
Northern,Okra,Bowl,6.0,5.0
Northern,Okra,Bundle,1.0,
Northern,Okra,Heap,1.0,1.0
Northern,Okra,Margarin tin,5.0,
Northern,Okra,Mini bag,1.5,
Northern,Okra,Other unit,1.0,
Northern,Okra,Packet,2.0,
Northern,Okra,Piece,0.08333333333333333,
Northern,Okra,Pot,2.0,
Northern,Okra,Pound,2.0,
Northern,Okra,Satchet,1.0,
Northern,Okra,Set,2.0,
Northern,Okra,Single,0.3,
Northern,Okra,Tubers,1.0,
Northern,Onion,American Tin (Olonka),5.0,
Northern,Onion,Balls,0.5,
Northern,Onion,Basket,5.0,
Northern,Onion,Beer bottle,2.0,
Northern,Onion,Bowl,7.0,5.5
Northern,Onion,Bucket,20.0,
Northern,Onion,Bunch,1.5,
Northern,Onion,Bundle,2.0,
Northern,Onion,Fanta bottle,1.0,
Northern,Onion,Heap,1.0,5.0
Northern,Onion,Mini bag,0.75,
Northern,Onion,Other unit,1.0,
Northern,Onion,Piece,0.2,
Northern,Onion,Pound,2.0,
Northern,Onion,Satchet,1.0,
Northern,Onion,Set,2.0,
Northern,Onion,Single,0.3333333333333333,
Northern,Onion,Tin,1.0,
Northern,Orange,Balls,0.3333333333333333,
Northern,Orange,Bowl,3.0,
Northern,Orange,Heap,2.0,
Northern,Orange,Piece,0.25,
Northern,Orange,Single,0.26785714285714285,2.0
Northern,Other Alchoholic Beverage,Beer bottle,,1.0
Northern,Other Alchoholic Beverage,Litres,,1.0
Northern,Other Alchoholic Beverage,Other unit,,1.0
Northern,Other Beverage,Beer bottle,,1.0
Northern,Other Beverage,Box/Carton,5.0,
Northern,Other Beverage,Fanta bottle,,1.75
Northern,Other Beverage,Kilogram,7.0,
Northern,Other Beverage,Litres,,1.0
Northern,Other Beverage,Other unit,0.5,
Northern,Other Beverage,Packet,1.0,
Northern,Other Beverage,Piece,0.5,
Northern,Other Beverage,Satchet,2.0,
Northern,Other Beverage,Visit,4.0,
Northern,Other Cereal,Single,0.5,
Northern,Other Domestic Poultry,American Tin (Olonka),,5.0
Northern,Other Domestic Poultry,Single,,11.0
Northern,Other Fish,1000 kg /metric tonnes/tonnes,0.005,
Northern,Other Fish,American Tin (Olonka),10.0,
Northern,Other Fish,Basket,0.5,
Northern,Other Fish,Bowl,10.0,10.0
Northern,Other Fish,Heap,5.0,10.0
Northern,Other Fish,Kilogram,5.666666666666666,5.0
Northern,Other Fish,Margarin tin,2.0,
Northern,Other Fish,Mini bag,5.0,
Northern,Other Fish,Other unit,3.25,
Northern,Other Fish,Piece,1.0,
Northern,Other Fish,Set,2.0,
Northern,Other Fish,Single,2.0,5.0
Northern,Other Flours,American Tin (Olonka),,2.0
Northern,Other Fruits,Bowl,,0.3
Northern,Other Fruits,Bundle,1.0,
Northern,Other Fruits,Heap,1.0,
Northern,Other Fruits,Piece,0.5,
Northern,Other Fruits,Single,0.5416666666666666,0.3000000059604645
Northern,Other Fruits,Stick,0.9166666666666666,
Northern,Other Grains,Bowl,,3.75
Northern,Other Leafy Vegetable,Bowl,,3.0
Northern,Other Leafy Vegetable,Bundle,,0.5
Northern,Other Leafy Vegetable,Heap,,1.0
Northern,Other Meat,Bowl,10.0,
Northern,Other Meat,Kilogram,5.5,6.0
Northern,Other Meat,Millilitre,10.0,
Northern,Other Meat,Other unit,0.5,
Northern,Other Meat,Piece,3.5,
Northern,Other Meat,Pound,5.0,
Northern,Other Meat,Single,15.0,10.0
Northern,Other Milk Products,Packet,1.0,
Northern,Other Milk Products,Piece,1.0,
Northern,Other Milk Products,Single,1.0,
Northern,Other Nut/Seed,Bowl,,4.0
Northern,Other Nut/Seed,Margarin tin,,2.0
Northern,Other Oils,Beer bottle,2.0,2.0
Northern,Other Oils,Fanta bottle,4.0,9.0
Northern,Other Oils,Heap,10.0,
Northern,Other Oils,Litres,5.35,
Northern,Other Oils,Other unit,10.0,
Northern,Other Oils,Single,18.0,
Northern,Other Pulses,Bowl,,6.0
Northern,Other Pulses,Heap,,2.0
Northern,Other Pulses,Margarin tin,,2.0
Northern,Other Spices,Balls,0.35,
Northern,Other Spices,Bowl,8.0,
Northern,Other Spices,Heap,0.5,
Northern,Other Spices,Other unit,0.5,
Northern,Other Spices,Packet,10.0,
Northern,Other Spices,Piece,0.2,
Northern,Other Spices,Satchet,0.5,
Northern,Other Spices,Set,1.0,
Northern,Other Spices,Single,0.225,
Northern,Other Spirits,Beer bottle,1.0,
Northern,Other Spirits,Fanta bottle,0.5,
Northern,Other Spirits,Satchet,0.5,
Northern,Other Spirits,Tot (25mls),0.5,
Northern,Other Tobacco,Balls,0.5,
Northern,Other Tobacco,Bowl,6.0,
Northern,Other Tobacco,Heap,0.5,
Northern,Other Tobacco,Other unit,2.0,
Northern,Other Tobacco,Packet,3.0,
Northern,Other Tobacco,Piece,2.25,
Northern,Other Tobacco,Rolls,1.0,
Northern,Other Tobacco,Single,2.0,
Northern,Other Tobacco,Stick,0.5,
Northern,Other Tobacco,Tin,2.0,
Northern,Other Tubers ,Heap,,2.3
Northern,Other Tubers ,Tubers,,12.0
Northern,Other Vegetable,American Tin (Olonka),8.0,
Northern,Other Vegetable,Balls,2.0,
Northern,Other Vegetable,Bowl,6.0,3.0
Northern,Other Vegetable,Bucket,1.0,
Northern,Other Vegetable,Bunch,1.0,
Northern,Other Vegetable,Bundle,1.0,0.5
Northern,Other Vegetable,Heap,1.0,0.5
Northern,Other Vegetable,Margarin tin,2.0,
Northern,Other Vegetable,Other unit,1.0,
Northern,Other Vegetable,Piece,1.0,
Northern,Other Vegetable,Satchet,1.0,
Northern,Other Vegetable,Set,2.0,
Northern,Other Vegetable,Single,2.0,
Northern,Other Vegetable,Tin,1.0,
Northern,Palm Nut,American Tin (Olonka),4.0,
Northern,Palm Nut,Bowl,5.0,2.5
Northern,Palm Nut,Bundle,2.0,
Northern,Palm Nut,Heap,2.0,
Northern,Palm Nut,Kilogram,4.0,
Northern,Palm Nut,Margarin tin,1.0,
Northern,Palm Nut,Other unit,1.0,
Northern,Palm Nut,Satchet,3.0,
Northern,Pawpaw,Balls,1.0,
Northern,Pawpaw,Bundle,1.0,
Northern,Pawpaw,Piece,1.025,
Northern,Pawpaw,Single,1.0,3.0
Northern,"Pepper (dried, red)",American Tin (Olonka),7.0,
Northern,"Pepper (dried, red)",Balls,1.25,
Northern,"Pepper (dried, red)",Beer bottle,2.0,
Northern,"Pepper (dried, red)",Bowl,5.0,
Northern,"Pepper (dried, red)",Bundle,1.0,
Northern,"Pepper (dried, red)",Heap,1.0,
Northern,"Pepper (dried, red)",Margarin tin,1.0,
Northern,"Pepper (dried, red)",Mini bag,0.5,
Northern,"Pepper (dried, red)",Other unit,1.0,
Northern,"Pepper (dried, red)",Packet,2.0,
Northern,"Pepper (dried, red)",Piece,1.0,
Northern,"Pepper (dried, red)",Pot,1.0,
Northern,"Pepper (dried, red)",Satchet,1.0,
Northern,"Pepper (dried, red)",Set,1.0,
Northern,"Pepper (dried, red)",Single,1.25,
Northern,"Pepper (dried, red)",Tin,0.51,
Northern,Pepper (fresh),American Tin (Olonka),4.0,
Northern,Pepper (fresh),Bowl,6.0,6.0
Northern,Pepper (fresh),Bundle,1.0,
Northern,Pepper (fresh),Heap,1.0,1.0
Northern,Pepper (fresh),Margarin tin,0.75,1.0
Northern,Pepper (fresh),Mini bag,1.0,
Northern,Pepper (fresh),Other unit,1.0,
Northern,Pepper (fresh),Packet,2.0,
Northern,Pepper (fresh),Piece,1.25,
Northern,Pepper (fresh),Satchet,1.0,
Northern,Pepper (fresh),Set,1.0,
Northern,Pepper (powder),American Tin (Olonka),8.0,
Northern,Pepper (powder),Bowl,8.0,
Northern,Pepper (powder),Bunch,1.0,
Northern,Pepper (powder),Bundle,0.5,
Northern,Pepper (powder),Heap,1.0,
Northern,Pepper (powder),Margarin tin,1.0,
Northern,Pepper (powder),Mini bag,0.75,
Northern,Pepper (powder),Other unit,0.5,
Northern,Pepper (powder),Piece,1.0,
Northern,Pepper (powder),Pound,2.0,
Northern,Pepper (powder),Satchet,1.0,
Northern,Pepper (powder),Set,2.0,
Northern,Pepper (powder),Single,2.5,
Northern,Pepper (powder),Tin,1.0,
Northern,Pineapple,Heap,0.5333333333333333,
Northern,Pineapple,Piece,5.0,
Northern,Pineapple,Single,2.5,
Northern,Plantain,American Tin (Olonka),4.0,
Northern,Plantain,Bowl,10.0,
Northern,Plantain,Bunch,6.666666666666667,15.0
Northern,Plantain,Fingers,0.8333333333333334,4.0
Northern,Plantain,Heap,5.0,
Northern,Plantain,Piece,1.6666666666666667,
Northern,Plantain,Single,0.8333333333333334,
Northern,Plantain,Stick,1.0,
Northern,Pork,1000 kg /metric tonnes/tonnes,50.0,
Northern,Pork,Bowl,10.0,10.0
Northern,Pork,Heap,5.0,
Northern,Pork,Kilogram,5.0,5.0
Northern,Pork,Other unit,0.5,
Northern,Pork,Piece,0.3333333333333333,
Northern,Pork,Pound,5.0,5.0
Northern,Pork,Satchet,5.0,
Northern,Pork,Single,100.0,100.0
Northern,Pork (feet),Pound,7.0,
Northern,Pork (feet),Single,3.0,
Northern,Pork (rib),Kilogram,7.142857142857143,
Northern,Pork (rib),Pound,8.0,
Northern,Pork (shoulder),Kilogram,7.142857142857143,
Northern,Pork (shoulder),Pound,8.0,
Northern,Potato ,American Tin (Olonka),1.0,
Northern,Potato ,Balls,1.0,
Northern,Potato ,Bowl,10.0,
Northern,Potato ,Heap,1.3333333333333335,
