country,wave,status,n_hh,n_psu,hh_per_psu,n_strata,wt_n,wt_cv,wt_max_over_med,wt_distinct,panel_wt_pct,rural_pct
GhanaLSS,1998-99,ok,5998.0,300.0,19.99,10.0,5998.0,0.684,7.08,298.0,100.0,63.0
GhanaLSS,2005-06,ok,8687.0,580.0,14.98,10.0,8687.0,0.438,3.77,579.0,100.0,58.0
GhanaLSS,2012-13,ok,16772.0,1200.0,13.98,10.0,16772.0,0.839,10.55,1196.0,100.0,56.0
GhanaLSS,2016-17,ok,14009.0,1000.0,14.01,10.0,14009.0,0.914,15.5,997.0,100.0,57.0
GhanaSPS,2009-10,ok,5009.0,334.0,15.0,7.0,5009.0,0.625,3.94,332.0,100.0,60.0
GhanaSPS,2013-14,ok,4774.0,334.0,14.29,0.0,0.0,,,,0.0,
GhanaSPS,2017-18,ok,5669.0,334.0,16.97,10.0,0.0,,,,0.0,
Guatemala,2000,ok,7276.0,1065.0,6.83,8.0,7276.0,0.993,19.86,418.0,100.0,53.0
Guinea-Bissau,2018-19,ok,5351.0,450.0,11.89,9.0,5351.0,0.487,2.84,340.0,100.0,63.0
Guyana,1992,ok,1807.0,168.0,10.76,16.0,1784.0,0.505,4.57,37.0,,36.0
India,1997-98,ok,2251.0,120.0,18.76,4.0,2251.0,0.545,1.24,4.0,100.0,
Iraq,2006-07,ok,17822.0,2961.0,6.02,57.0,17822.0,1.615,81.29,2341.0,100.0,32.0
Iraq,2012,ok,25146.0,2828.0,8.89,118.0,25146.0,1.207,11.91,209.0,100.0,41.0
Kazakhstan,1996,ok,1996.0,135.0,14.79,,,,,,,36.0
Kosovo,2000,ok,2880.0,360.0,8.0,,2880.0,0.446,2.82,184.0,,50.0
Liberia,2018-19,ok,2986.0,32.0,93.31,,2986.0,0.82,6.59,249.0,,99.0
Malawi,2004-05,ok,11280.0,564.0,20.0,30.0,11280.0,0.25,1.45,30.0,100.0,87.0
Malawi,2010-11,ok,12271.0,768.0,15.98,31.0,12271.0,0.692,9.2,766.0,100.0,82.0
Malawi,2013-14,ok,4000.0,204.0,19.61,31.0,4000.0,0.646,3.99,202.0,100.0,74.0
Malawi,2016-17,ok,14955.0,880.0,16.99,32.0,14955.0,1.462,25.02,2306.0,17.0,80.0
Malawi,2019-20,ok,14612.0,819.0,17.84,32.0,14612.0,1.308,18.84,2213.0,22.0,80.0
Mali,2014-15,ok,3804.0,989.0,3.85,0.0,3804.0,0.977,17.27,959.0,100.0,63.0
Mali,2017-18,ok,8390.0,953.0,8.8,47.0,8390.0,0.956,18.11,951.0,100.0,82.0
Mali,2018-19,ok,6602.0,551.0,11.98,0.0,6602.0,0.844,7.56,548.0,100.0,58.0
Mali,2021-22,ok,6143.0,513.0,11.97,0.0,6143.0,0.933,10.56,823.0,100.0,56.0
Nepal,,FAILED: PathMissingError: The path '/home/user/LSMS_Library/lsms_library/countries/Nepal/1995-96/Data/../Data/c1_nlss_public.dta' does not exist i,,,,,,,,,,
Niger,2011-12,ok,3968.0,270.0,14.7,25.0,3968.0,0.944,7.08,241.0,100.0,61.0
Niger,2014-15,ok,3558.0,270.0,13.18,0.0,3558.0,1.163,18.06,616.0,100.0,64.0
Niger,2018-19,ok,6024.0,504.0,11.95,0.0,6024.0,0.802,9.37,503.0,100.0,74.0
Niger,2021-22,ok,6622.0,555.0,11.93,0.0,6622.0,0.931,11.34,802.0,100.0,62.0
Nigeria,2010Q3,ok,5000.0,500.0,10.0,6.0,5000.0,0.642,6.68,449.0,100.0,68.0
Nigeria,2011Q1,ok,5000.0,500.0,10.0,6.0,5000.0,0.642,6.68,449.0,100.0,68.0
Nigeria,2012Q3,ok,4859.0,647.0,7.51,6.0,4716.0,0.653,7.2,472.0,96.0,68.0
Nigeria,2013Q1,ok,4859.0,647.0,7.51,6.0,4716.0,0.653,7.2,472.0,96.0,68.0
Nigeria,2015Q3,ok,4696.0,792.0,5.93,6.0,4581.0,0.654,7.1,461.0,94.0,68.0
Nigeria,2016Q1,ok,4696.0,792.0,5.93,6.0,4581.0,0.654,7.1,461.0,94.0,68.0
Nigeria,2018Q3,ok,5263.0,685.0,7.68,6.0,4976.0,1.025,11.33,513.0,27.0,67.0
Nigeria,2019Q1,ok,5263.0,685.0,7.68,6.0,4976.0,1.025,11.33,513.0,27.0,67.0
Nigeria,2023Q3,ok,5067.0,911.0,5.56,6.0,4715.0,0.924,11.15,4580.0,27.0,68.0
Nigeria,2024Q1,ok,5067.0,911.0,5.56,6.0,4715.0,0.924,11.15,4580.0,27.0,68.0
Pakistan,1991,ok,4967.0,301.0,16.5,4.0,,,,,,50.0
Panama,1997,ok,4945.0,148.0,33.41,,0.0,,,,0.0,
Panama,2003,ok,6363.0,159.0,40.02,,6363.0,0.61,8.32,572.0,100.0,
Panama,2008,ok,7045.0,817.0,8.62,,7045.0,0.642,14.98,743.0,100.0,
Peru,,no sample table,,,,,,,,,,
Senegal,2018-19,ok,7156.0,598.0,11.97,,7156.0,0.807,13.78,596.0,100.0,45.0
Senegal,2021-22,ok,7120.0,596.0,11.95,,7120.0,0.901,13.89,1012.0,100.0,45.0
