spec,pair_group,basis,unit_scope,item_scope,farmgate_scope,country,t,geo_rung,item,n_countries,n_cells,n_items,n_geos,median_gap,ratio,iqr_gap,share_abs_gap_gt_log1p5,share_exact_ties,claim_30_50,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,n_geo_singleton,n_eff_cells,loo_min,loo_max,loo_worst_item
farmgate_by_class,own_consumption_vs_crop_sale,native,sized,pulses & oilseeds,all,POOLED,,,,1.0,52,3,50.0,0.1823215567939549,1.2000000000000004,0.34157498593624464,0.23076923076923078,0.2692307692307692,False,,,,,,,49.0,3.0,,,
farmgate_by_class,own_consumption_vs_crop_sale,native,sized,pulses & oilseeds,same_good,POOLED,,,,1.0,40,1,40.0,0.17426526997027064,1.1903712936996393,0.3021024199842241,0.15,0.325,False,,,,,,,40.0,0.0,,,
farmgate_by_class,own_consumption_vs_crop_sale,native,sized,roots & tubers,all,POOLED,,,,1.0,4,2,,0.5496762406266633,1.7326919517865988,0.47867228022364366,0.5,0.0,False,,,,,,,,,,,
farmgate_by_class,own_consumption_vs_crop_sale,native,sized,roots & tubers,same_good,POOLED,,,,1.0,1,1,,0.2938933324510593,1.3416407864998736,0.0,0.0,0.0,True,,,,,,,,,,,
farmgate_by_class,own_consumption_vs_crop_sale,native,sized,staple grains & flours,all,POOLED,,,,1.0,50,4,37.0,0.6152975307926711,1.8502070112307132,0.7060425795684508,0.68,0.02,False,,,-0.10002736116080395,0.11179124225463866,,,27.0,23.0,-0.1529095431308917,-0.07534563381652151,Uganda|Rice
farmgate_by_class,own_consumption_vs_crop_sale,native,sized,staple grains & flours,same_good,POOLED,,,,1.0,11,1,11.0,0.4337502838523619,1.5430334996209196,0.2817529407974515,0.5454545454545454,0.0,False,,,,,,,11.0,0.0,,,
market_identity_by_class,1_vs_5,native,sized,animal products,all,POOLED,,,,6.0,615,50,378.0,0.0,1.0,0.3646431135879093,0.27479674796747966,0.19349593495934958,False,0.09501707756087725,0.035607583393448654,-0.02776259605847348,0.043877789147509796,0.921951239197594,0.5062239323841389,251.0,364.0,,,
market_identity_by_class,1_vs_5,native,sized,fresh produce,all,POOLED,,,,6.0,2502,37,1333.0,0.0,1.0,0.29919116503386456,0.2106314948041567,0.2422062350119904,False,-0.07197727229017002,0.05401598831018305,-0.03019877378553163,0.01619557221034821,0.961464747623568,0.37823016592612313,667.0,1835.0,,,
market_identity_by_class,1_vs_5,native,sized,processed & beverages,all,POOLED,,,,6.0,3461,43,1936.0,0.0,1.0,0.2513144282809063,0.20861022825772899,0.2207454492921121,False,-0.15105443147375544,0.03650113044615577,0.0006686471260296784,0.01187578053072043,0.7903439339328251,0.7508394619228993,947.0,2514.0,,,
market_identity_by_class,1_vs_5,native,sized,pulses & oilseeds,all,POOLED,,,,6.0,954,24,691.0,0.046183589040949394,1.0472666599907152,0.33878706557327576,0.20754716981132076,0.15723270440251572,False,-0.22867872244038073,0.1263625280759256,-0.14842969265574246,0.04153260524473637,0.9738799820362994,0.40253629523130197,499.0,455.0,,,
market_identity_by_class,1_vs_5,native,sized,roots & tubers,all,POOLED,,,,5.0,636,24,598.0,0.0,1.0,0.33647223662121306,0.19654088050314467,0.2783018867924528,False,0.3177921275818148,0.06384313308950768,-0.2765249161767105,0.1194411455334046,0.9946805766528883,1.7766675984364617,571.0,65.0,,,
market_identity_by_class,1_vs_5,native,sized,staple grains & flours,all,POOLED,,,,6.0,1592,37,1043.0,0.0,1.0,0.2288415724288479,0.146356783919598,0.1815326633165829,False,-0.542493969008187,0.1611212739544423,-0.05105359869342886,0.040051827792886345,0.9630897644430321,0.36818371133501593,658.0,934.0,,,
farmgate_by_country,market_vs_crop_sale,native,all,all,all,Ethiopia,,,,1.0,195,25,67.0,0.2623642644674908,1.2999999999999996,0.46591519647531415,0.40512820512820513,0.05128205128205128,False,0.826805641442947,0.6223630122554051,0.2949138569881727,0.12599035146884086,0.8021200808230164,0.6627231457763371,38.0,157.0,,,
