country,wave,table,subdf,mechanism,source_column,raw_value,raw_type,count,config_maps_to,how,declaration
CotedIvoire,1986-87,sample,,inline_dict,REGION,1: ABIDJAN,str,337,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1986-87,sample,,inline_dict,REGION,5: SAVANNA,str,304,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1986-87,sample,,inline_dict,REGION,4: WEST FOREST,str,240,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,cluster_features,,inline_dict,REGION,2: OTHER CITIES,str,448,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,cluster_features,,inline_dict,REGION,1: ABIDJAN,str,352,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,cluster_features,,inline_dict,REGION,5: SAVANNA,str,336,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,cluster_features,,inline_dict,REGION,3: EAST FOREST,str,304,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,cluster_features,,inline_dict,REGION,4: WEST FOREST,str,160,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,sample,,inline_dict,REGION,2: OTHER CITIES,str,448,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,sample,,inline_dict,REGION,1: ABIDJAN,str,352,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,sample,,inline_dict,REGION,5: SAVANNA,str,336,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,sample,,inline_dict,REGION,3: EAST FOREST,str,304,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1987-88,sample,,inline_dict,REGION,4: WEST FOREST,str,160,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,cluster_features,,inline_dict,REGION,2: OTHER CITIES,str,432,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,cluster_features,,inline_dict,REGION,3: EAST FOREST,str,320,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,cluster_features,,inline_dict,REGION,1: ABIDJAN,str,304,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,cluster_features,,inline_dict,REGION,5: SAVANNA,str,304,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,cluster_features,,inline_dict,REGION,4: WEST FOREST,str,240,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,sample,,inline_dict,REGION,2: OTHER CITIES,str,432,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,sample,,inline_dict,REGION,3: EAST FOREST,str,320,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,sample,,inline_dict,REGION,1: ABIDJAN,str,304,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,sample,,inline_dict,REGION,5: SAVANNA,str,304,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1988-89,sample,,inline_dict,REGION,4: WEST FOREST,str,240,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
