country,table,wave,delivered_value,delivered_type,count,n_rows,status
Tajikistan,cluster_features,2007,Rural,str,173,267,ok
Tajikistan,cluster_features,2007,Urban,str,94,267,ok
Tajikistan,cluster_features,2009,Rural,str,107,167,ok
Tajikistan,cluster_features,2009,Urban,str,60,167,ok
Tajikistan,sample,1999,Rural,str,1456,2000,ok
Tajikistan,sample,1999,Urban,str,544,2000,ok
Tajikistan,sample,2003,Rural,str,2640,4160,ok
Tajikistan,sample,2003,Urban,str,1520,4160,ok
Tajikistan,sample,2007,Rural,str,3150,4860,ok
Tajikistan,sample,2007,Urban,str,1710,4860,ok
Tajikistan,sample,2009,Rural,str,963,1503,ok
Tajikistan,sample,2009,Urban,str,540,1503,ok
Tanzania,cluster_features,2008-09,Rural,str,258,409,ok
Tanzania,cluster_features,2008-09,Urban,str,151,409,ok
Tanzania,cluster_features,2010-11,Rural,str,273,409,ok
Tanzania,cluster_features,2010-11,Urban,str,136,409,ok
Tanzania,cluster_features,2012-13,Rural,str,264,409,ok
Tanzania,cluster_features,2012-13,Urban,str,145,409,ok
Tanzania,cluster_features,2014-15,Rural,str,295,498,ok
Tanzania,cluster_features,2014-15,Urban,str,203,498,ok
Tanzania,cluster_features,2019-20,Rural,str,80,147,ok
Tanzania,cluster_features,2019-20,Urban,str,67,147,ok
Tanzania,cluster_features,2020-21,Urban,str,258,515,ok
Tanzania,cluster_features,2020-21,Rural,str,257,515,ok
Tanzania,sample,2008-09,Rural,str,2063,3265,ok
Tanzania,sample,2008-09,Urban,str,1202,3265,ok
Tanzania,sample,2010-11,Rural,str,2629,3924,ok
Tanzania,sample,2010-11,Urban,str,1295,3924,ok
Tanzania,sample,2012-13,Rural,str,3219,5010,ok
Tanzania,sample,2012-13,Urban,str,1791,5010,ok
Tanzania,sample,2014-15,Rural,str,2540,4341,ok
Tanzania,sample,2014-15,Urban,str,1801,4341,ok
Tanzania,sample,2019-20,Rural,str,682,1184,ok
Tanzania,sample,2019-20,Urban,str,502,1184,ok
Tanzania,sample,2020-21,Rural,str,2560,4709,ok
Tanzania,sample,2020-21,Urban,str,2149,4709,ok
Tanzania_Kegera,cluster_features,,,,,,NOT_IN_SCHEME
Tanzania_Kegera,sample,,,,,,NOT_IN_SCHEME
Timor-Leste,cluster_features,2001,Rural,str,183,300,ok
Timor-Leste,cluster_features,2001,Urban,str,117,300,ok
Timor-Leste,cluster_features,2007-08,Rural,str,168,300,ok
Timor-Leste,cluster_features,2007-08,Urban,str,132,300,ok
Timor-Leste,sample,2001,Rural,str,1098,1800,ok
Timor-Leste,sample,2001,Urban,str,702,1800,ok
Timor-Leste,sample,2007-08,Rural,str,2502,4477,ok
Timor-Leste,sample,2007-08,Urban,str,1975,4477,ok
Togo,cluster_features,2018,Rural,str,334,540,ok
Togo,cluster_features,2018,Urban,str,206,540,ok
Togo,sample,2018,Rural,str,3901,6171,ok
Togo,sample,2018,Urban,str,2270,6171,ok
Uganda,cluster_features,2005-06,Rural,str,232,322,ok
Uganda,cluster_features,2005-06,Urban,str,90,322,ok
Uganda,cluster_features,2009-10,Rural,str,452,656,ok
Uganda,cluster_features,2009-10,Urban,str,177,656,ok
Uganda,cluster_features,2009-10,,NaN,27,656,ok
Uganda,cluster_features,2010-11,Rural,str,215,320,ok
Uganda,cluster_features,2010-11,Urban,str,91,320,ok
Uganda,cluster_features,2010-11,,NaN,14,320,ok
Uganda,cluster_features,2011-12,Rural,str,231,321,ok
Uganda,cluster_features,2011-12,Urban,str,90,321,ok
Uganda,cluster_features,2013-14,Rural,str,460,706,ok
Uganda,cluster_features,2013-14,Urban,str,176,706,ok
Uganda,cluster_features,2013-14,,NaN,70,706,ok
Uganda,cluster_features,2015-16,Rural,str,588,875,ok
Uganda,cluster_features,2015-16,Urban,str,222,875,ok
Uganda,cluster_features,2015-16,,NaN,65,875,ok
Uganda,cluster_features,2018-19,Rural,str,469,781,ok
Uganda,cluster_features,2018-19,Urban,str,190,781,ok
Uganda,cluster_features,2018-19,,NaN,122,781,ok
Uganda,cluster_features,2019-20,Rural,str,504,824,ok
Uganda,cluster_features,2019-20,Urban,str,195,824,ok
Uganda,cluster_features,2019-20,,NaN,125,824,ok
Uganda,sample,2005-06,Rural,str,2263,3123,ok
Uganda,sample,2005-06,Urban,str,860,3123,ok
Uganda,sample,2009-10,Rural,str,2206,2975,ok
Uganda,sample,2009-10,Urban,str,769,2975,ok
Uganda,sample,2010-11,Rural,str,2105,2716,ok
Uganda,sample,2010-11,Urban,str,611,2716,ok
Uganda,sample,2011-12,Rural,str,2266,2850,ok
Uganda,sample,2011-12,Urban,str,584,2850,ok
Uganda,sample,2013-14,Rural,str,2303,3119,ok
Uganda,sample,2013-14,Urban,str,816,3119,ok
Uganda,sample,2015-16,Rural,str,2470,3305,ok
Uganda,sample,2015-16,Urban,str,835,3305,ok
Uganda,sample,2018-19,Rural,str,2367,3176,ok
Uganda,sample,2018-19,Urban,str,809,3176,ok
Uganda,sample,2019-20,Rural,str,2333,3098,ok
Uganda,sample,2019-20,Urban,str,745,3098,ok
Uganda,sample,2019-20,,NaN,20,3098,ok
