country,wave,table,subdf,build,source_file,source_column,src_dtype,raw_value,raw_type,count,n_rows,mechanism,status
Ethiopia,2013-14,sample,,script,../Data/sect_cover_hh_w2.dta,rural,object,Rural,str,3323,5262,script:.map(dict),ok
Ethiopia,2013-14,sample,,script,../Data/sect_cover_hh_w2.dta,rural,object,Large town (urban),str,1486,5262,script:.map(dict),ok
Ethiopia,2013-14,sample,,script,../Data/sect_cover_hh_w2.dta,rural,object,Small town (urban),str,453,5262,script:.map(dict),ok
Ethiopia,2015-16,cluster_features,df_main,yaml,sect_cover_hh_w3.dta,rural,object,RURAL,str,3272,4954,inline_dict,ok
Ethiopia,2015-16,cluster_features,df_main,yaml,sect_cover_hh_w3.dta,rural,object,Meduim and large town,str,1255,4954,inline_dict,ok
Ethiopia,2015-16,cluster_features,df_main,yaml,sect_cover_hh_w3.dta,rural,object,SMALL TOWN,str,427,4954,inline_dict,ok
Ethiopia,2015-16,sample,,script,../Data/sect_cover_hh_w3.dta,rural,object,RURAL,str,3272,4954,script:.map(dict),ok
Ethiopia,2015-16,sample,,script,../Data/sect_cover_hh_w3.dta,rural,object,Meduim and large town,str,1255,4954,script:.map(dict),ok
Ethiopia,2015-16,sample,,script,../Data/sect_cover_hh_w3.dta,rural,object,SMALL TOWN,str,427,4954,script:.map(dict),ok
Ethiopia,2018-19,cluster_features,df_main,yaml,sect_cover_hh_w4.dta,saq14,object,URBAN,str,3655,6770,inline_dict,ok
Ethiopia,2018-19,cluster_features,df_main,yaml,sect_cover_hh_w4.dta,saq14,object,RURAL,str,3115,6770,inline_dict,ok
Ethiopia,2018-19,sample,,script,../Data/sect_cover_hh_w4.dta,saq14,object,URBAN,str,3655,6770,script:.map(dict),ok
Ethiopia,2018-19,sample,,script,../Data/sect_cover_hh_w4.dta,saq14,object,RURAL,str,3115,6770,script:.map(dict),ok
Ethiopia,2021-22,cluster_features,df_main,yaml,sect_cover_hh_w5.dta,saq14,object,URBAN,str,2674,4959,inline_dict,ok
Ethiopia,2021-22,cluster_features,df_main,yaml,sect_cover_hh_w5.dta,saq14,object,RURAL,str,2285,4959,inline_dict,ok
Ethiopia,2021-22,sample,,script,../Data/sect_cover_hh_w5.dta,saq14,object,URBAN,str,2674,4959,script:.map(dict),ok
Ethiopia,2021-22,sample,,script,../Data/sect_cover_hh_w5.dta,saq14,object,RURAL,str,2285,4959,script:.map(dict),ok
GhanaLSS,1991-92,cluster_features,,yaml,POV_GH.DTA,loc2,float64,2.0,float,2945,4523,auto_function,ok
GhanaLSS,1991-92,cluster_features,,yaml,POV_GH.DTA,loc2,float64,1.0,float,1578,4523,auto_function,ok
GhanaLSS,1991-92,sample,,yaml,POV_GH.DTA,loc2,float64,2.0,float,2945,4523,auto_function,ok
GhanaLSS,1991-92,sample,,yaml,POV_GH.DTA,loc2,float64,1.0,float,1578,4523,auto_function,ok
GhanaLSS,1998-99,cluster_features,,yaml,SEC0A.DTA,loc2,float64,2.0,float,3799,5998,auto_function,ok
GhanaLSS,1998-99,cluster_features,,yaml,SEC0A.DTA,loc2,float64,1.0,float,2199,5998,auto_function,ok
GhanaLSS,1998-99,sample,,yaml,SEC0A.DTA,loc2,float64,2.0,float,3799,5998,auto_function,ok
GhanaLSS,1998-99,sample,,yaml,SEC0A.DTA,loc2,float64,1.0,float,2199,5998,auto_function,ok
GhanaLSS,2005-06,cluster_features,,yaml,aggregates/pov_gh5.dta,loc2,object,rural,str,5069,8687,auto_function,ok
GhanaLSS,2005-06,cluster_features,,yaml,aggregates/pov_gh5.dta,loc2,object,urban,str,3618,8687,auto_function,ok
GhanaLSS,2012-13,cluster_features,,yaml,PARTA/g6loc_edt.dta,loc2,object,Rural,str,9327,16772,passthrough,ok
GhanaLSS,2012-13,cluster_features,,yaml,PARTA/g6loc_edt.dta,loc2,object,Urban,str,7445,16772,passthrough,ok
GhanaLSS,2012-13,sample,,yaml,PARTA/g6loc_edt.dta,loc2,object,Rural,str,9327,16772,passthrough,ok
GhanaLSS,2012-13,sample,,yaml,PARTA/g6loc_edt.dta,loc2,object,Urban,str,7445,16772,passthrough,ok
GhanaLSS,2016-17,cluster_features,,yaml,g7sec8h.dta,loc2,object,Rural,str,534677,934584,inline_dict,ok
GhanaLSS,2016-17,cluster_features,,yaml,g7sec8h.dta,loc2,object,Urban ,str,399907,934584,inline_dict,ok
GhanaLSS,2016-17,sample,,yaml,g7sec0.dta,urbrur,object,Rural,str,7991,14009,passthrough,ok
GhanaLSS,2016-17,sample,,yaml,g7sec0.dta,urbrur,object,Urban,str,6018,14009,passthrough,ok
GhanaSPS,2009-10,sample,,yaml,key_hhld_info.dta,urbrur,object,Rural,str,2999,5009,auto_function,ok
GhanaSPS,2009-10,sample,,yaml,key_hhld_info.dta,urbrur,object,Urban,str,2010,5009,auto_function,ok
Guatemala,2000,cluster_features,,yaml,CONSUMO5.DTA,area,object,rural,str,3852,7276,inline_dict,ok
Guatemala,2000,cluster_features,,yaml,CONSUMO5.DTA,area,object,urbana,str,3424,7276,inline_dict,ok
Guatemala,2000,sample,,yaml,CONSUMO5.DTA,area,object,rural,str,3852,7276,inline_dict,ok
Guatemala,2000,sample,,yaml,CONSUMO5.DTA,area,object,urbana,str,3424,7276,inline_dict,ok
Guinea-Bissau,2018-19,cluster_features,df_main,yaml,s00_me_gnb2018.dta,s00q04,object,Rural,str,3361,5351,inline_dict,ok
Guinea-Bissau,2018-19,cluster_features,df_main,yaml,s00_me_gnb2018.dta,s00q04,object,Urbano,str,1990,5351,inline_dict,ok
Guinea-Bissau,2018-19,sample,df_cover,yaml,s00_me_gnb2018.dta,s00q04,object,Rural,str,3361,5351,inline_dict,ok
Guinea-Bissau,2018-19,sample,df_cover,yaml,s00_me_gnb2018.dta,s00q04,object,Urbano,str,1990,5351,inline_dict,ok
Guyana,1992,cluster_features,,yaml,../Data/COVERN.dta,SECTOR,int8,1,int,1153,1807,inline_dict,ok
Guyana,1992,cluster_features,,yaml,../Data/COVERN.dta,SECTOR,int8,2,int,654,1807,inline_dict,ok
Guyana,1992,sample,df_cover,yaml,../Data/COVERN.dta,SECTOR,int8,1,int,1153,1807,inline_dict,ok
Guyana,1992,sample,df_cover,yaml,../Data/COVERN.dta,SECTOR,int8,2,int,654,1807,inline_dict,ok
India,1997-98,employment,,yaml,../Data/SECT02AD.DTA,v02a05b,object,,NaN,14998,16089,passthrough,ok
India,1997-98,employment,,yaml,../Data/SECT02AD.DTA,v02a05b,object,Urban,str,728,16089,passthrough,ok
India,1997-98,employment,,yaml,../Data/SECT02AD.DTA,v02a05b,object,Rural,str,363,16089,passthrough,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,kirkuk - urban center,str,380,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,mosul - rural,str,324,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,najaf - urban center,str,324,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,najaf - rural,str,324,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,qadisiya - urban center,str,324,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,qadisiya - other urban,str,324,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,muthanna - other urban,str,324,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,maysan - urban center,str,324,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,baghdad - rural,str,323,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,kerbela - rural,str,323,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,salah al-deen - other urban,str,323,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,muthanna - rural,str,323,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,maysan - other urban,str,323,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,maysan - rural,str,323,17822,list_no_mapping,ok
