id,label,section,members_in_wave,members_absent,n_in_wave,status,fit,spread,sigma_min,ratio,passes,betas,ses
goat_mutton,Goat/Mutton,groups,"[""Goat"", ""Mutton""]",[],2,gated,probe,0.2301199391004099,0.4591142930580114,0.3718292450825508,True,"{""Goat"": 2.674130960141543, ""Mutton"": 2.444011021041133}","{""Goat"": 0.4591142930580114, ""Mutton"": 0.8423179562293263}"
beer_pito,Beer/Pito,groups,"[""Beer"", ""Pito""]",[],2,gated,probe,0.2411282968410521,0.4501964753132501,0.397334426847661,True,"{""Beer"": 1.1703371724092593, ""Pito"": 1.4114654692503115}","{""Beer"": 0.4501964753132501, ""Pito"": 0.5716503225975376}"
crab_shrimp,Crab and shrimp,groups,"[""Crab"", ""Shrimp""]",[],2,gated,probe,0.11803703525517784,0.28238087868115513,0.3100938230024836,True,"{""Crab"": 1.2370665027123204, ""Shrimp"": 1.1190294674571426}","{""Crab"": 0.28238087868115513, ""Shrimp"": 0.6032483020842986}"
bread_types,Bread (including sugar bread),groups,"[""Bread"", ""Sugar Bread""]",[],2,gated,fine,0.7335066004345311,0.12621681157648862,4.311187674158603,False,"{""Bread"": 2.2449038862278994, ""Sugar Bread"": 1.511397285793368}","{""Bread"": 0.12621681157648862, ""Sugar Bread"": 0.1286584432176252}"
named_spirits,Spirits (gin/whisky/schnapps),groups,"[""Gin"", ""Whisky"", ""Schnapps""]","[""Whisky"", ""Schnapps""]",3,member_unidentified,probe,,,,,"{""Gin"": 0.5595426432795135}","{""Gin"": 0.931824520192418}"
tinned_milk_forms,Milk (evaporated/condensed),groups,"[""Milk (evaporated)"", ""Milk (tinned, condensed/unsweetened)""]","[""Milk (evaporated)""]",2,member_unidentified,probe,,,,,"{""Milk (tinned, condensed/unsweetened)"": 0.43307604677539674}","{""Milk (tinned, condensed/unsweetened)"": 0.4709331152470661}"
coconut_forms,Coconut (fresh/dried),groups,"[""Coconut (fresh)"", ""Coconut (dried)""]","[""Coconut (dried)""]",2,member_unidentified,probe,,,,,"{""Coconut (fresh)"": 1.278783907039793}","{""Coconut (fresh)"": 0.18520379983318772}"
named_processed_fish,Fish (canned or in oil/sauce),groups,"[""Fish (canned)"", ""Tuna (processed)"", ""Mackerel (processed)""]",[],3,gated,probe,1.2759935482935891,0.13285733529593394,7.124806085047271,False,"{""Fish (canned)"": 1.4162695633565576, ""Tuna (processed)"": 0.41046342986141954, ""Mackerel (processed)"": 1.6864569781550087}","{""Fish (canned)"": 0.13285733529593394, ""Tuna (processed)"": 0.31953132749988133, ""Mackerel (processed)"": 0.14097767723532492}"
chicken_cuts,Chicken cuts,deferred_alternatives,"[""Chicken (breast)"", ""Chicken (thigh)"", ""Chicken (wing)""]",[],3,gated,probe,0.7700010397202824,0.1058678557516927,5.395569641613307,False,"{""Chicken (breast)"": 0.8038246585437417, ""Chicken (thigh)"": 1.5738256982640242, ""Chicken (wing)"": 0.9376737300001574}","{""Chicken (breast)"": 0.3473288940696298, ""Chicken (thigh)"": 0.14655223427456499, ""Chicken (wing)"": 0.1058678557516927}"
pork_cuts,Pork cuts,deferred_alternatives,"[""Pork (rib)"", ""Pork (shoulder)"", ""Pork (fillet)""]","[""Pork (rib)"", ""Pork (shoulder)"", ""Pork (fillet)""]",3,member_unidentified,probe,,,,,{},{}
smoked_fish_broad,Smoked fish (all species),deferred_alternatives,"[""Fish (smoked, river)"", ""Fish (smoked, sea)"", ""Herring (smoked)"", ""Salmon (smoked)""]","[""Fish (smoked)""]",4,gated,fine,0.5539678380666108,0.11194071737089968,3.671187563717087,False,"{""Fish (smoked, river)"": 1.449448606191851, ""Fish (smoked, sea)"": 1.7491211733232772, ""Herring (smoked)"": 1.1951533352566666, ""Salmon (smoked)"": 1.5879735940229993}","{""Fish (smoked, river)"": 0.15601757257823717, ""Fish (smoked, sea)"": 0.17543689465260803, ""Herring (smoked)"": 0.11194071737089968, ""Salmon (smoked)"": 0.12543819265254535}"
sausage,Sausage,deferred_alternatives,"[""Sausage (beef)"", ""Sausage (pork)"", ""Sausage (chicken)""]","[""Sausage (beef)"", ""Sausage (pork)""]",3,member_unidentified,probe,,,,,"{""Sausage (chicken)"": 0.6893831513626295}","{""Sausage (chicken)"": 0.41042081370644357}"
dried_pepper_forms,Pepper (dried/powder),deferred_alternatives,"[""Pepper (dried)"", ""Pepper (powder)""]",[],2,gated,fine,1.2141017770374247,0.20247273895978532,4.448346867289924,False,"{""Pepper (dried)"": 1.093296065602382, ""Pepper (powder)"": 2.3073978426398067}","{""Pepper (dried)"": 0.20247273895978532, ""Pepper (powder)"": 0.27318078438338106}"
millet_sorghum_grain,Millet/Sorghum (grain),deferred_alternatives,"[""Millet"", ""Guinea Corn/Sorghum""]","[""Millet/Sorghum""]",2,gated,probe,0.60098775024334,0.5789075601886953,0.7701343714141224,True,"{""Millet"": 1.2553646918510648, ""Guinea Corn/Sorghum"": 1.8563524420944046}","{""Millet"": 0.8671881349713797, ""Guinea Corn/Sorghum"": 0.5789075601886953}"
