country,wave,n,note,weight_n,weight_mean,weight_min,weight_max,weight_sum,weight_neg,weight_zero,panel_weight_n,panel_weight_mean,panel_weight_min,panel_weight_max,panel_weight_sum,panel_weight_neg,panel_weight_zero
Iraq,2012,25146.0,,25146.0,1.0,0.024709867167102162,7.266995083639137,25146.0,0.0,0.0,25146.0,1.0,0.024709867167102162,7.266995083639137,25146.0,0.0,0.0
Kazakhstan,1996,1996.0,,0.0,,,,,,,0.0,,,,,,
Kosovo,2000,2880.0,,2880.0,1.0,0.2453787312386441,2.055120383094025,2880.0,0.0,0.0,0.0,,,,,,
Liberia,2018-19,2986.0,,2986.0,1.0,0.07472423770579033,4.861948118811392,2986.0,0.0,0.0,0.0,,,,,,
Malawi,2004-05,11280.0,,11280.0,1.0,0.3737369272150733,1.4813197829200566,11280.0,0.0,0.0,11280.0,1.0,0.3737369272150733,1.4813197829200566,11280.0,0.0,0.0
Malawi,2010-11,12271.0,,12271.0,1.0,0.026440445262364276,7.742405978592009,12271.0,0.0,0.0,12271.0,1.0,0.026440445262364276,7.742405978592009,12271.0,0.0,0.0
Malawi,2013-14,4000.0,,4000.0,0.9999999999999999,0.07470036961463222,3.89827717797018,3999.9999999999995,0.0,0.0,4000.0,1.0,0.04211035473804443,4.354967604036124,4000.0,0.0,0.0
Malawi,2016-17,14955.0,,14955.0,1.0,0.01336959733938994,12.13841990254888,14955.0,0.0,0.0,2508.0,1.0,0.008571403048901612,6.0448108380693215,2508.0,0.0,0.0
Malawi,2019-20,14612.0,,14612.0,1.0,0.029690325558855653,9.931056278754625,14612.0,0.0,0.0,3178.0,1.0,0.0073921512099706065,18.397287512300082,3178.0,0.0,0.0
Mali,2014-15,3804.0,,3804.0,1.0,0.03378651707424078,13.711918214272334,3804.0,0.0,0.0,3804.0,1.0,0.03378651707424078,13.711918214272334,3804.0,0.0,0.0
Mali,2017-18,8390.0,,8390.0,1.0000000000000002,0.042663780987142116,13.945595639225068,8390.000000000002,0.0,0.0,8390.0,1.0000000000000002,0.042663780987142116,13.945595639225068,8390.000000000002,0.0,0.0
Mali,2018-19,6602.0,,6602.0,0.9999999999999999,0.013560777255794545,6.205200213639162,6601.999999999999,0.0,0.0,6602.0,0.9999999999999999,0.013560777255794545,6.205200213639162,6601.999999999999,0.0,0.0
Mali,2021-22,6143.0,,6143.0,1.0,0.013651531894222177,8.25852412844256,6143.0,0.0,0.0,6143.0,1.0,0.013651531894222177,8.25852412844256,6143.0,0.0,0.0
Nepal,,,"ERROR: PathMissingError(""The path '/global/scratch/fsa/fc_jevons/ligon/mirrors/LSMS_Library/.claude/worktrees/agent-a2977e8867b7d9c20/lsms_library/countries/Nepal/1995-96/Data/../Data/c1_nlss_public.dta' does not exist in the target repository '/global/scratch/fsa/fc_jevons/ligon/mirrors/LSMS_Library/.clau",,,,,,,,,,,,,,
Niger,2011-12,3968.0,,3968.0,0.9999999999999999,0.024035937603481335,4.653357520033986,3967.9999999999995,0.0,0.0,3968.0,0.9999999999999999,0.024035937603481335,4.653357520033986,3967.9999999999995,0.0,0.0
Niger,2014-15,3558.0,,3558.0,1.0,0.012809209121407622,9.611584936503775,3558.0,0.0,0.0,3558.0,1.0,0.012809209121407622,9.611584936503775,3558.0,0.0,0.0
Niger,2018-19,6024.0,,6024.0,1.0,0.06625448697706494,8.384049370846611,6024.0,0.0,0.0,6024.0,1.0,0.06625448697706494,8.384049370846611,6024.0,0.0,0.0
Niger,2021-22,6622.0,,6622.0,1.0,0.018759864592477665,9.844824537639223,6622.0,0.0,0.0,6622.0,1.0,0.018759864592477665,9.844824537639223,6622.0,0.0,0.0
