country,wave,n,note,weight_n,weight_mean,weight_min,weight_max,weight_sum,weight_neg,weight_zero,panel_weight_n,panel_weight_mean,panel_weight_min,panel_weight_max,panel_weight_sum,panel_weight_neg,panel_weight_zero
CotedIvoire,1987-88,1600.0,,1600.0,1.0000000048125,0.0748278,2.0807988,1600.0000077,0.0,0.0,1600.0,1.0000000048125,0.0748278,2.0807988,1600.0000077,0.0,0.0
CotedIvoire,1988-89,1600.0,,1600.0,0.9999999859999997,0.7777778,1.1296296,1599.9999775999995,0.0,0.0,1600.0,0.9999999859999997,0.7777778,1.1296296,1599.9999775999995,0.0,0.0
CotedIvoire,2018-19,12992.0,,12992.0,443.4196037426958,8.729286193847656,4054.532958984375,5760907.491825104,0.0,0.0,12992.0,443.4196037426958,8.729286193847656,4054.532958984375,5760907.491825104,0.0,0.0
Ethiopia,2011-12,3969.0,,3969.0,3145.259095389947,7.756682395935059,17094.66015625,12483533.3496027,0.0,0.0,3969.0,3145.259095389947,7.756682395935059,17094.66015625,12483533.3496027,0.0,0.0
Ethiopia,2013-14,5262.0,,5262.0,3344.0464650421077,6.897769451141357,22097.78125,17596372.49905157,0.0,0.0,5262.0,3344.0464650421077,6.897769451141357,22097.78125,17596372.49905157,0.0,0.0
Ethiopia,2015-16,4954.0,,4954.0,4040.185036835191,6.844484329223633,32753.236328125,20015076.672481537,0.0,0.0,4954.0,4040.185036835191,6.844484329223633,32753.236328125,20015076.672481537,0.0,0.0
Ethiopia,2018-19,6770.0,,6770.0,2964.1672582102074,7.594256259204712,25432.46619083396,20067412.338083103,0.0,0.0,6770.0,2964.1672582102074,7.594256259204712,25432.46619083396,20067412.338083103,0.0,0.0
Ethiopia,2021-22,4959.0,,4959.0,4160.387988559852,4.388510704040527,32370.2890625,20631364.035268307,0.0,0.0,4959.0,4160.387988559852,4.388510704040527,32370.2890625,20631364.035268307,0.0,0.0
EthiopiaRHS,1989,338.0,,338.0,1.0,1.0,1.0,338.0,0.0,0.0,338.0,1.0,1.0,1.0,338.0,0.0,0.0
EthiopiaRHS,1994a,1480.0,,1480.0,1.0,1.0,1.0,1480.0,0.0,0.0,1480.0,1.0,1.0,1.0,1480.0,0.0,0.0
EthiopiaRHS,1994b,1480.0,,1480.0,1.0,1.0,1.0,1480.0,0.0,0.0,1480.0,1.0,1.0,1.0,1480.0,0.0,0.0
EthiopiaRHS,1995,1480.0,,1480.0,1.0,1.0,1.0,1480.0,0.0,0.0,1480.0,1.0,1.0,1.0,1480.0,0.0,0.0
EthiopiaRHS,1997,1475.0,,1475.0,1.0,1.0,1.0,1475.0,0.0,0.0,1475.0,1.0,1.0,1.0,1475.0,0.0,0.0
EthiopiaRHS,1999,1475.0,,1475.0,1.0,1.0,1.0,1475.0,0.0,0.0,1475.0,1.0,1.0,1.0,1475.0,0.0,0.0
EthiopiaRHS,2004,1368.0,,1368.0,1.0,1.0,1.0,1368.0,0.0,0.0,1368.0,1.0,1.0,1.0,1368.0,0.0,0.0
EthiopiaRHS,2009,1357.0,,1357.0,1.0,1.0,1.0,1357.0,0.0,0.0,1357.0,1.0,1.0,1.0,1357.0,0.0,0.0
GhanaLSS,1987-88,3147.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaLSS,1988-89,3194.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaLSS,1991-92,4523.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaLSS,1998-99,5998.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaLSS,2005-06,8687.0,,8687.0,637.5195893834043,77.31206512451172,2326.008544921875,5538132.672973633,0.0,0.0,8687.0,637.5195893834043,77.31206512451172,2326.008544921875,5538132.672973633,0.0,0.0
GhanaLSS,2012-13,16772.0,,16772.0,393.60147494005184,31.65520477294922,3476.264404296875,6601483.93769455,0.0,0.0,16772.0,393.60147494005184,31.65520477294922,3476.264404296875,6601483.93769455,0.0,0.0
GhanaLSS,2016-17,14009.0,,14009.0,521.0882073469479,21.81696946323685,6614.401149379729,7299924.696723393,0.0,0.0,14009.0,521.0882073469479,21.81696946323685,6614.401149379729,7299924.696723393,0.0,0.0
GhanaSPS,2009-10,5009.0,,5009.0,1419.2034530137014,214.98081970214844,4751.1015625,7108790.09614563,0.0,0.0,5009.0,1419.2034530137014,214.98081970214844,4751.1015625,7108790.09614563,0.0,0.0
GhanaSPS,2013-14,4774.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaSPS,2017-18,5669.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
Guatemala,2000,7276.0,,7276.0,301.18897746014295,21.0,4448.0,2191451.0,0.0,0.0,7276.0,301.18897746014295,21.0,4448.0,2191451.0,0.0,0.0
Guinea-Bissau,2018-19,5351.0,,5351.0,38.37358800934043,4.113846778869629,112.13135528564453,205337.06943798065,0.0,0.0,5351.0,38.37358800934043,4.113846778869629,112.13135528564453,205337.06943798065,0.0,0.0
Guyana,1992,1807.0,,1784.0,25.719730941704036,5.0,105.0,45884.0,0.0,0.0,0.0,,,,,,
India,1997-98,2251.0,,2251.0,7975.944024877832,2350.0,12645.0,17953850.0,0.0,0.0,2251.0,7975.944024877832,2350.0,12645.0,17953850.0,0.0,0.0
Iraq,2006-07,17822.0,,17822.0,246.04687007425235,4.648009777069092,14128.44140625,4385047.3184633255,0.0,0.0,17822.0,246.04687007425235,4.648009777069092,14128.44140625,4385047.3184633255,0.0,0.0
Iraq,2012,25146.0,,25146.0,202.1544535277444,4.995209693908691,1469.055419921875,5083375.888408661,0.0,0.0,25146.0,202.1544535277444,4.995209693908691,1469.055419921875,5083375.888408661,0.0,0.0
Kazakhstan,1996,1996.0,,0.0,,,,,,,0.0,,,,,,
Kosovo,2000,2880.0,,2880.0,105.44923706054688,25.875,216.71087646484375,303693.802734375,0.0,0.0,0.0,,,,,,
Liberia,2018-19,2986.0,,2986.0,157.60948179810939,11.77724838256836,766.2891235351562,470621.91264915466,0.0,0.0,0.0,,,,,,
Malawi,2004-05,11280.0,,11280.0,242.14893795581574,90.5,358.70001220703125,2731440.0201416016,0.0,0.0,11280.0,242.14893795581574,90.5,358.70001220703125,2731440.0201416016,0.0,0.0
Malawi,2010-11,12271.0,,12271.0,250.38912492742284,6.6203999519348145,1938.6142578125,3072524.9519844055,0.0,0.0,12271.0,250.38912492742284,6.6203999519348145,1938.6142578125,3072524.9519844055,0.0,0.0
Malawi,2013-14,4000.0,,4000.0,925.3407848129273,69.12329864501953,3607.23486328125,3701363.139251709,0.0,0.0,4000.0,748.0665667967796,31.5013484954834,3257.8056640625,2992266.2671871185,0.0,0.0
Malawi,2016-17,14955.0,,14955.0,620.011190649892,8.289299964904785,7525.956176387677,9272267.356169134,0.0,0.0,2508.0,1174.2188605629349,10.064703121506918,7097.930894596239,2944940.902291841,0.0,0.0
