path	sidecar_md5	local_md5	in_remote	md5_match	verdict	bytes
lsms_library/countries/GhanaSPS/2009-10/Data/S1FIII.dta	9e8e31e525a1f47ec4744d585736b533	9e8e31e525a1f47ec4744d585736b533	True	True	delete	1403648
lsms_library/countries/GhanaSPS/2009-10/Data/S1GI.dta	5c4e210f750295333424593114b106d9	5c4e210f750295333424593114b106d9	True	True	delete	343855
lsms_library/countries/GhanaSPS/2009-10/Data/S1GI0.dta	cf6387ec328bc2220173edfae0be7c1c	cf6387ec328bc2220173edfae0be7c1c	True	True	delete	61560
lsms_library/countries/GhanaSPS/2009-10/Data/S1GII.dta	9630084ca960ccd6a1f77863c25ed728	9630084ca960ccd6a1f77863c25ed728	True	True	delete	485961
lsms_library/countries/GhanaSPS/2009-10/Data/S1GII0.dta	07657421c457cfa5e8cf6cf16378391e	07657421c457cfa5e8cf6cf16378391e	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S2A.dta	4186e42d139a84b67964dd8b82ee39c7	4186e42d139a84b67964dd8b82ee39c7	True	True	delete	2908540
lsms_library/countries/GhanaSPS/2009-10/Data/S2A0.dta	7ad254831d904a31da61aae50f3a3408	7ad254831d904a31da61aae50f3a3408	True	True	delete	61489
lsms_library/countries/GhanaSPS/2009-10/Data/S2B.dta	79b0ca8b8ac8f6492276a2dc3d91c2f8	79b0ca8b8ac8f6492276a2dc3d91c2f8	True	True	delete	46930
lsms_library/countries/GhanaSPS/2009-10/Data/S2B0.dta	4d4328bccd86f3b0f624494a944fc77f	4d4328bccd86f3b0f624494a944fc77f	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S3AI.dta	8759080f0df59db89fb8b2023296989d	8759080f0df59db89fb8b2023296989d	True	True	delete	205573
lsms_library/countries/GhanaSPS/2009-10/Data/S3AI0.dta	4b5ef913feeb50086c8f2a6d5be87e9e	4b5ef913feeb50086c8f2a6d5be87e9e	True	True	delete	61560
lsms_library/countries/GhanaSPS/2009-10/Data/S3AII.dta	c40c96566d61f69d78e8255cf6475159	c40c96566d61f69d78e8255cf6475159	True	True	delete	1144941
lsms_library/countries/GhanaSPS/2009-10/Data/S3AII0.dta	fce893cc9052227958d0d67f4caed6f5	fce893cc9052227958d0d67f4caed6f5	True	True	delete	61560
lsms_library/countries/GhanaSPS/2009-10/Data/S3AIII.dta	8d14b324a039ccc2b8480bc090c1fccc	8d14b324a039ccc2b8480bc090c1fccc	True	True	delete	804020
lsms_library/countries/GhanaSPS/2009-10/Data/S3BI.dta	ea1d70d848c2621c2dd055b0b12d40d4	ea1d70d848c2621c2dd055b0b12d40d4	True	True	delete	176532
lsms_library/countries/GhanaSPS/2009-10/Data/S3BI0.dta	51819777f523cf81b2f83e6d064320db	51819777f523cf81b2f83e6d064320db	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S3BII.dta	1b33850b5f42413bed6a7199c5e878ea	1b33850b5f42413bed6a7199c5e878ea	True	True	delete	48432
lsms_library/countries/GhanaSPS/2009-10/Data/S3BII0.dta	2cb6dcf69914e93d09fbe7f57fda4301	2cb6dcf69914e93d09fbe7f57fda4301	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S3BIII.dta	b800463de577906aa55c8f0dfd62ff8f	b800463de577906aa55c8f0dfd62ff8f	True	True	delete	132352
lsms_library/countries/GhanaSPS/2009-10/Data/S3BIII0.dta	c905ee83642c6c192aaaf9da5f5e4a28	c905ee83642c6c192aaaf9da5f5e4a28	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S3BIV.dta	e337b2547d8852d9a82fce28e174b043	e337b2547d8852d9a82fce28e174b043	True	True	delete	129850
lsms_library/countries/GhanaSPS/2009-10/Data/S3BIV0.dta	d4650748e764be6c60a6432f0abd712d	d4650748e764be6c60a6432f0abd712d	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S3BV.dta	df9a6db500a9339e0c1f578a1af51c80	df9a6db500a9339e0c1f578a1af51c80	True	True	delete	205716
lsms_library/countries/GhanaSPS/2009-10/Data/S3BV0.dta	75ac0a588a5a7429e8802c2883dbfde5	75ac0a588a5a7429e8802c2883dbfde5	True	True	delete	66438
lsms_library/countries/GhanaSPS/2009-10/Data/S40.dta	9ba7595a3dac13b2e1d833d99d275081	9ba7595a3dac13b2e1d833d99d275081	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S4AI.dta	89d0f11fd39af8c7f24b99d31789407d	89d0f11fd39af8c7f24b99d31789407d	True	True	delete	146356
lsms_library/countries/GhanaSPS/2009-10/Data/S4AII.dta	e45af84e9854d713e346dc2852535700	e45af84e9854d713e346dc2852535700	True	True	delete	356568
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIII.dta	e297c473713ff0159cd9acf852540c83	e297c473713ff0159cd9acf852540c83	True	True	delete	617960
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIV.dta	66d612eefb8bec1c0386a5d88cee5aec	66d612eefb8bec1c0386a5d88cee5aec	True	True	delete	531454
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIX1.dta	b3e635fd2892909159e4828f0185e93a	b3e635fd2892909159e4828f0185e93a	True	True	delete	324631
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIX2.dta	77c63b8935ced3b852cf6e4781b8cc53	77c63b8935ced3b852cf6e4781b8cc53	True	True	delete	302207
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIX3.dta	b4e6a16bfe676713a85eb6250dbd3a12	b4e6a16bfe676713a85eb6250dbd3a12	True	True	delete	364981
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIX4.dta	5267352146f380e404ccf4480bff9f78	5267352146f380e404ccf4480bff9f78	True	True	delete	439031
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIX5.dta	d307feaad65b9d6808bfa5a8128ce9dc	d307feaad65b9d6808bfa5a8128ce9dc	True	True	delete	246023
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIX6.dta	4adb9c16e175f2593e4aa32b85c3b380	4adb9c16e175f2593e4aa32b85c3b380	True	True	delete	256643
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIX7.dta	98e93592124dd7c8bab218fcd8b59eb0	98e93592124dd7c8bab218fcd8b59eb0	True	True	delete	268093
lsms_library/countries/GhanaSPS/2009-10/Data/S4AIX8.dta	f0f7a11898cc2544b3a872d9386e1be2	f0f7a11898cc2544b3a872d9386e1be2	True	True	delete	268001
lsms_library/countries/GhanaSPS/2009-10/Data/S4AV1.dta	004db2a493645a61bfb90ca3fa347185	004db2a493645a61bfb90ca3fa347185	True	True	delete	975957
lsms_library/countries/GhanaSPS/2009-10/Data/S4AV2.dta	739bec9f9a72d7a9cd20a2d45f00d8e6	739bec9f9a72d7a9cd20a2d45f00d8e6	True	True	delete	867321
lsms_library/countries/GhanaSPS/2009-10/Data/S4AVI1.dta	6f4c91e7d0e2ebb1cd28be76881f2e32	6f4c91e7d0e2ebb1cd28be76881f2e32	True	True	delete	561351
lsms_library/countries/GhanaSPS/2009-10/Data/S4AVI10.dta	c62e6af0ece29522e8851b89d038f2f2	c62e6af0ece29522e8851b89d038f2f2	True	True	delete	35088
lsms_library/countries/GhanaSPS/2009-10/Data/S4AVI2.dta	88d8926df3c1ccb4ddb9885abeabe81a	88d8926df3c1ccb4ddb9885abeabe81a	True	True	delete	194070
lsms_library/countries/GhanaSPS/2009-10/Data/S4AVI20.dta	0bd149a2cf89ebec1e4267a7e87293af	0bd149a2cf89ebec1e4267a7e87293af	True	True	delete	35064
lsms_library/countries/GhanaSPS/2009-10/Data/S4AVII.dta	9b32d5939e9238aec3449db17192dd0c	9b32d5939e9238aec3449db17192dd0c	True	True	delete	116515
lsms_library/countries/GhanaSPS/2009-10/Data/S4AVIII1.dta	5f5742ab869b21293007521f9e578bcb	5f5742ab869b21293007521f9e578bcb	True	True	delete	738456
lsms_library/countries/GhanaSPS/2009-10/Data/S4AVIII10.dta	64b8ccfabbc964ef5f5ed1bbba58dcd4	64b8ccfabbc964ef5f5ed1bbba58dcd4	True	True	delete	35064
lsms_library/countries/GhanaSPS/2009-10/Data/S4AVIII2.dta	74ae1f5f4f0696e9c3d51a9166132272	74ae1f5f4f0696e9c3d51a9166132272	True	True	delete	210713
lsms_library/countries/GhanaSPS/2009-10/Data/S4AVIII20.dta	f22220b6ad84d04b87dbb91f29285005	f22220b6ad84d04b87dbb91f29285005	True	True	delete	35076
lsms_library/countries/GhanaSPS/2009-10/Data/S4BI.dta	274174127ac6fc45f9a94739219ed0cf	274174127ac6fc45f9a94739219ed0cf	True	True	delete	1111341
lsms_library/countries/GhanaSPS/2009-10/Data/S4BI0.dta	12f69a7067514fcc5f75407f75c81466	12f69a7067514fcc5f75407f75c81466	True	True	delete	35052
lsms_library/countries/GhanaSPS/2009-10/Data/S4BII.dta	41eae5ce13fa1d5787afcd72cc1df101	41eae5ce13fa1d5787afcd72cc1df101	True	True	delete	2371374
lsms_library/countries/GhanaSPS/2009-10/Data/S4BII0.dta	0c3001641d9c2b33484f344f672cbd11	0c3001641d9c2b33484f344f672cbd11	True	True	delete	35076
lsms_library/countries/GhanaSPS/2009-10/Data/S5A0.dta	45cb95fb3d0f9d653d717e19ba5c4166	45cb95fb3d0f9d653d717e19ba5c4166	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S5AI.dta	f063bf56020f06e99c9707b8647764b5	f063bf56020f06e99c9707b8647764b5	True	True	delete	1062980
lsms_library/countries/GhanaSPS/2009-10/Data/S5AII.dta	4bf4b6a7cf0f78e20787630fb833f060	4bf4b6a7cf0f78e20787630fb833f060	True	True	delete	599487
lsms_library/countries/GhanaSPS/2009-10/Data/S5BI.dta	3d2e2cfcfed677da19f992818a7f71be	3d2e2cfcfed677da19f992818a7f71be	True	True	delete	66637
lsms_library/countries/GhanaSPS/2009-10/Data/S5BII.dta	0ee94655079ca8dcabb95fe7d32e4c67	0ee94655079ca8dcabb95fe7d32e4c67	True	True	delete	145823
lsms_library/countries/GhanaSPS/2009-10/Data/S5BIII.dta	074fe79f703e83d106693e8993c89870	074fe79f703e83d106693e8993c89870	True	True	delete	211990
lsms_library/countries/GhanaSPS/2009-10/Data/S5BIV.dta	de02c85112d10e08de2ea6fa3cb029b2	de02c85112d10e08de2ea6fa3cb029b2	True	True	delete	190725
lsms_library/countries/GhanaSPS/2009-10/Data/S5C1.dta	bb02bc00f3a34f0b3ece236243b853c7	bb02bc00f3a34f0b3ece236243b853c7	True	True	delete	411376
lsms_library/countries/GhanaSPS/2009-10/Data/S5C2.dta	e7779d03555cc6c2ab47a0f7ef4e956f	e7779d03555cc6c2ab47a0f7ef4e956f	True	True	delete	70378
lsms_library/countries/GhanaSPS/2009-10/Data/S5C3.dta	483c6164bd5a97de1144f740a2a135a5	483c6164bd5a97de1144f740a2a135a5	True	True	delete	366629
lsms_library/countries/GhanaSPS/2009-10/Data/S5D1.dta	3a365fabdbab560073d42666bc4e62c3	3a365fabdbab560073d42666bc4e62c3	True	True	delete	807715
lsms_library/countries/GhanaSPS/2009-10/Data/S5D2.dta	855d391ea31e11420ea49928f7071bee	855d391ea31e11420ea49928f7071bee	True	True	delete	628345
lsms_library/countries/GhanaSPS/2009-10/Data/S5D3.dta	367d515f9f7c205423fdc772419499d7	367d515f9f7c205423fdc772419499d7	True	True	delete	651927
lsms_library/countries/GhanaSPS/2009-10/Data/S5E1.dta	d81bd43a66d3feea81d5453b71e3661a	d81bd43a66d3feea81d5453b71e3661a	True	True	delete	527185
lsms_library/countries/GhanaSPS/2009-10/Data/S5E2.dta	d6388b1b1288e8323ccd1ee61d1dfc3c	d6388b1b1288e8323ccd1ee61d1dfc3c	True	True	delete	35083
lsms_library/countries/GhanaSPS/2009-10/Data/S5E3.dta	d98d2840a28716293478d3f7d7022508	d98d2840a28716293478d3f7d7022508	True	True	delete	177121
lsms_library/countries/GhanaSPS/2009-10/Data/S5F.dta	740e7b8434d0a6aa0699998cf85b1642	740e7b8434d0a6aa0699998cf85b1642	True	True	delete	199847
lsms_library/countries/GhanaSPS/2009-10/Data/S6A.dta	032182037db1a14d1771c2fac1846d00	032182037db1a14d1771c2fac1846d00	True	True	delete	1332650
lsms_library/countries/GhanaSPS/2009-10/Data/S6B.dta	353714dddb050b1d86b3be9380142311	353714dddb050b1d86b3be9380142311	True	True	delete	1053731
lsms_library/countries/GhanaSPS/2009-10/Data/S6C.dta	ac4242f8ac41be706d072c420778fbfe	ac4242f8ac41be706d072c420778fbfe	True	True	delete	1082069
lsms_library/countries/GhanaSPS/2009-10/Data/S6D.dta	0b71ebc4f8abf0f55bd78657e6b547b5	0b71ebc4f8abf0f55bd78657e6b547b5	True	True	delete	264086
lsms_library/countries/GhanaSPS/2009-10/Data/S6E.dta	12915aa90b849dc6a71bc7293c93fe27	12915aa90b849dc6a71bc7293c93fe27	True	True	delete	533271
lsms_library/countries/GhanaSPS/2009-10/Data/S6F.dta	86b5321f2f1f8107fe1ef96cf6d0a9dd	86b5321f2f1f8107fe1ef96cf6d0a9dd	True	True	delete	1405445
lsms_library/countries/GhanaSPS/2009-10/Data/S6G.dta	5ae551874cd51de1c95732d6bc754b95	5ae551874cd51de1c95732d6bc754b95	True	True	delete	1987903
lsms_library/countries/GhanaSPS/2009-10/Data/S70.dta	0eb367b48192bb28ad788a53fed53618	0eb367b48192bb28ad788a53fed53618	True	True	delete	61393
lsms_library/countries/GhanaSPS/2009-10/Data/S7A.dta	04caf44c956759612a42bac0e804c55a	04caf44c956759612a42bac0e804c55a	True	True	delete	536418
lsms_library/countries/GhanaSPS/2009-10/Data/S7B.dta	c6846aa957446db96549cb19430d67c8	c6846aa957446db96549cb19430d67c8	True	True	delete	276754
lsms_library/countries/GhanaSPS/2009-10/Data/S80.dta	543a9af08300391d8721cf3339ce37e6	543a9af08300391d8721cf3339ce37e6	True	True	delete	61441
