s4aq60	int8	Who in your household mainly decides on the use of this payment?
s4bq1	int8	During the past 7 days, how many jobs did you do/have altogether?
s4bq2a1	int8	Main occupation (code) - Major
s4bq2a2	int16	Main occupation (code) - Detail (4)
s4bq2a3	int32	Main occupation (code) - Detail (6)
s4bq3a1	int32	Industry of main occupation (code) - Major
s4bq3a2	int16	Industry of main occupation (code) - Detail (4)
s4bq3a3	int32	Industry of main occupation (code) - Detail (6)
s4bq4	int8	During the past 7 days, for how many days did (NAME) on this second job?
s4bq5a	int8	For the ?? . days worked, how many hours did [NAME] do in this second job? Day 1
s4bq5b	int8	Day 2
s4bq5c	int8	Day 3
s4bq5d	int8	Day 4
s4bq5e	int8	Day 5
s4bq5f	int8	Day 6
s4bq5g	int8	Day 7
s4bq6	int8	In what sector is [NAME] mainly working?
s4bq7	int8	What is [NAME?s] status in this job?
s4bq7a	string	Other Specify
s4bq8	int8	Is [NAME] paid on a timely basis or a piece rate basis
s4bq8a	string	Other specify
s4bq9	int32	How much is [NAME's] payment for this job? IF [NAME] HAS NOT YET BEEN PAID, ASK:
s4bq9a	int8	Time Unit of payment
s4bq10	int8	Does [NAME] receive any payment for this work in the form of goods and services?
s4bq11a	int16	What is the value of goods and services you received?
s4bq11b	int8	Time Unit of payment
s4bq12	int8	Does [NAME] have a contract/agreement (written or verbal) or letter of appointme
s4bq13	int8	In this job, is (NAME) entitled to paid holidays/leave?
s4bq14	int8	Is (NAME) entitled to paid sick leave and/or maternity leave on this job?
s4bq15	int8	Is [NAME] entitled to any social security benefits in this job?
s4bq16	string	What type of social security benefit will/does [NAME] benefits?
s4bq16a	int8	Three(3) Tier Scheme
s4bq16b	int8	Two(2) Tier Scheme
s4bq16c	int8	SSNIT Scheme
s4bq16d	int8	CAP 30
s4bq16e	int8	Other Scheme
s4bq16_other	string	Other Specify
s4bq17	int8	Is [NAME] entitled to free or subsidized medical care in this job?
s4bq18	int8	Where do you usually do your main work?
s4bq18a	string	Other specify
s4bq19	int8	Is the work you do regular or temporary?
s4cq1	int16	During the past 7 days, what were your total hours of work in your economic acti
s4cq2_old	int8	Total Number of hours
s4cq3	int8	Was (NAME) available for additional hours of work in the past seven days?
s4cq4	int8	Was (NAME) willing to work for additional hours in the past seven days?
s4cq6	int8	Did (NAME) wish to change jobs or to have another job in addition to (NAME?s) pr
s4cq7	int8	Did (NAME) seek to change (NAME?S) job in the past 7 days?
s4cq8	int8	What was the most important reason that made (NAME) seek to do that?
s4cq8o	string	Other Specify
s4cq9	int8	What steps did (NAME) take to change your work situation or increase earnings?
s4cq9a	string	Other Specify
s4cq10	int8	Is (NAME) ready and have the requirements to change his/her work situation durin
s4dq1	int8	Worked for pay, profit, commission or family gain during past 12 months
s4dq2	int8	During the months that (NAME) worked, was it the same as (NAME?s) main or second
s4dq2o	string	Other Specify
s4dq3a1	int32	Main occupation (code) - Major
s4dq3a2	int16	Main occupation (code) - Detail (4)
s4dq3a3	int32	Main occupation (code) - Detail (6)
s4dq4a1	int8	Industry of main occupation (code) - Major
s4dq4a2	int16	Industry of main occupation (code) - Detail (4)
s4dq4a3	int32	Industry of main occupation (code) - Detail (6)
s4dq5	int8	What is [NAME?s] status in this job?
s4dq5a	string	Other Specify
s4dq6	int8	In what sector is [NAME] mainly working?
s4dq7	int8	Did (NAME) receive any payment for this work in the form of cash, goods or servi
s4eq1	int8	Was (NAME) available for work during the past 7 days, if there had been an oppor
s4eq2	int8	Has (NAME) made any effort during the past 7 days to find work or start own busi
s4eq3	int8	Why has (NAME) not made any effort to find work or start a business?
s4eq3o	string	Other Specify
s4eq4	int8	What did (NAME) do in this period to find work or start a business?
s4eq4o	string	Other Specify
s4eq5	int8	Would (NAME) be willing to work part time? (i.e. 20 hours a week)
s4eq6	int8	During this period what type of employment was (NAME) mainly seeking and availab
s4eq6o	string	Other Specify
s4eq7	int8	How long has (NAME) been seeking and available for work?
s4eq8a1	int8	Main occupation (code) - Major
s4eq8a2	int16	Main occupation (code) - Detail (4)
s4eq8a3	int32	Main occupation (code) - Detail (6)
s4eq9	int16	What is the lowest wage is for which (NAME) is willing to work for someone?
s4eq9a	int8	Time Unit of payment
s4eq10	int8	Why was (NAME) not available for work during the past 7 days?
s4eq10o	string	Other Specify
s4eq11	int8	Under which conditions, if any, would (NAME) become available for work?
s4eq11o	string	Other Specify
s4eq12	int8	Has (NAME) ever refused a job that was offered to him/her?
s4eq13	int8	Why did (NAME) refuse the job?
s4eq13o	string	Other Specify
s4eq14	int8	What is the main reason (NAME) is not getting a job?
s4fq1	int8	Has [NAME] worked in more than one institution or organization in his/her workin
s4fq2a	int8	How long did it take [NAME] to secure employment/ income earning activities afte
s4fq2b	int8	Length of Transition  Month
