country,feature,wave,tier,coverage,n_rows,detail
CotedIvoire,plot_features,2018-19,sane,declared,14417,"warn: index_levels_match_scheme,no_constant_columns"
CotedIvoire,plot_inputs,1985-86,absent,absent,,source not declared for wave
CotedIvoire,plot_inputs,1986-87,absent,absent,,source not declared for wave
CotedIvoire,plot_inputs,1987-88,absent,absent,,source not declared for wave
CotedIvoire,plot_inputs,1988-89,absent,absent,,source not declared for wave
CotedIvoire,plot_inputs,2018-19,sane,declared,11250,warn: index_levels_match_scheme
CotedIvoire,plot_labor,1985-86,absent,absent,,source not declared for wave
CotedIvoire,plot_labor,1986-87,absent,absent,,source not declared for wave
CotedIvoire,plot_labor,1987-88,absent,absent,,source not declared for wave
CotedIvoire,plot_labor,1988-89,absent,absent,,source not declared for wave
CotedIvoire,plot_labor,2018-19,sane,declared,22264,warn: index_levels_match_scheme
CotedIvoire,sample,1985-86,sane,declared,1588,all checks pass
CotedIvoire,sample,1986-87,sane,declared,1600,all checks pass
CotedIvoire,sample,1987-88,sane,declared,1600,all checks pass
CotedIvoire,sample,1988-89,sane,declared,1600,all checks pass
CotedIvoire,sample,2018-19,sane,declared,12992,all checks pass
CotedIvoire,shocks,1985-86,absent,absent,,source not declared for wave
CotedIvoire,shocks,1986-87,absent,absent,,source not declared for wave
CotedIvoire,shocks,1987-88,absent,absent,,source not declared for wave
CotedIvoire,shocks,1988-89,absent,absent,,source not declared for wave
CotedIvoire,shocks,2018-19,sane,declared,13778,all checks pass
CotedIvoire,subjective_well_being,1985-86,absent,absent,,source not declared for wave
CotedIvoire,subjective_well_being,1986-87,absent,absent,,source not declared for wave
CotedIvoire,subjective_well_being,1987-88,absent,absent,,source not declared for wave
CotedIvoire,subjective_well_being,1988-89,absent,absent,,source not declared for wave
CotedIvoire,subjective_well_being,2018-19,sane,declared,12912,warn: index_levels_match_scheme
Ethiopia,anthropometry,2011-12,sane,declared,2493,"warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,anthropometry,2013-14,sane,declared,4175,"warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,anthropometry,2015-16,sane,declared,5355,"warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,anthropometry,2018-19,sane,declared,3081,"warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,anthropometry,2021-22,sane,declared,3660,"warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,assets,2011-12,sane,declared,138912,all checks pass
Ethiopia,assets,2013-14,sane,declared,184170,all checks pass
Ethiopia,assets,2015-16,sane,declared,173390,all checks pass
Ethiopia,assets,2018-19,sane,declared,37855,all checks pass
Ethiopia,assets,2021-22,sane,declared,33560,all checks pass
Ethiopia,cluster_features,2011-12,builds,declared,333,"fail: no_all_null_columns; warn: has_household_index,no_constant_columns"
Ethiopia,cluster_features,2013-14,sane,declared,434,warn: has_household_index
