pair,j,n_cells,median_gap,ratio,in_30_50
unit_value_vs_crop_sale_price_soldunit,Sim Sim,4,0.36698458754010055,1.4433756729740648,True
unit_value_vs_crop_sale_price_soldunit,Tea,4,2.414931174779506,11.189000245642436,False
unit_value_vs_crop_sale_price_soldunit,Irish Potatoes,2,0.10136627702704182,1.1066819197003224,False
unit_value_vs_crop_sale_price_soldunit,Soybean,2,0.4904146265058631,1.632993161855452,False
unit_value_vs_crop_sale_price_soldunit,Tomatoes,2,1.1339401836539809,3.107878016963649,False
unit_value_vs_crop_sale_price_soldunit,Dodo,1,-0.6931471805599454,0.49999999999999994,False
unit_value_vs_crop_sale_price_soldunit,Onions,1,0.5533852381847861,1.7391304347826078,False
unit_value_vs_crop_sale_price_soldunit,Sugarcane,1,0.5108256237659905,1.6666666666666663,False
unit_value_vs_own_consumption_valuation,Other Veg.,128,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Beans,110,0.16119339906893204,1.1749121737630333,False
unit_value_vs_own_consumption_valuation,Maize,109,0.17611029679467638,1.1925695879998883,False
unit_value_vs_own_consumption_valuation,Sweet Potatoes,88,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Cassava,83,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Ground Nuts,77,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Other Fruits,72,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Matoke,61,0.2231435513142106,1.250000000000001,False
unit_value_vs_own_consumption_valuation,Dodo,59,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Milk (fresh),59,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Cassava (flour),46,0.12460077594185837,1.132696163231415,False
unit_value_vs_own_consumption_valuation,Tomatoes,45,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Sorghum,38,0.047655089902162384,1.0488088481701514,False
unit_value_vs_own_consumption_valuation,Mangos,37,0.3465735902799718,1.4142135623730938,True
unit_value_vs_own_consumption_valuation,Millet,36,0.15415067982725805,1.1666666666666663,False
unit_value_vs_own_consumption_valuation,Irish Potatoes,28,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Eggs,27,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Sweet Bananas,27,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Onions,26,0.0,1.0,False
unit_value_vs_own_consumption_valuation,Sim Sim,26,0.044867121952886446,1.0458888750036919,False
