t,j,u,geo_level,geo,lp_unit_value,n_unit_value,lp_own_consumption_valuation,n_own_consumption_valuation,lp_crop_sale_price,n_crop_sale_price,gap_1_3,gap_1_4,gap_3_4,position
2009-10,Ground Nuts,Kg,Region,Eastern,7.783224016336037,104,7.648557549444245,50,6.396929655216146,13,0.13466646689179207,1.3862943611198908,1.2516278942280987,0.902858678020587
2009-10,Ground Nuts,Kg,Region,Western,7.824046010856292,33,7.600902459542082,20,7.495541943884256,19,0.2231435513142097,0.3285040669720356,0.10536051565782589,0.32072819258823626
2009-10,Maize,Kg,Region,Central,7.170119543449628,469,6.907755278982137,99,5.857933154483459,39,0.2623642644674913,1.3121863889661691,1.0498221244986778,0.8000556424958806
2009-10,Maize,Kg,Region,Eastern,6.907755278982137,178,6.907755278982137,180,5.991464547107982,214,0.0,0.9162907318741551,0.9162907318741551,1.0
2009-10,Maize,Kg,Region,Northern,7.090076835776092,66,6.907755278982137,24,5.991464547107982,71,0.1823215567939549,1.09861228866811,0.9162907318741551,0.8340437671464696
2009-10,Maize,Kg,Region,Western,7.090076835776092,229,6.684611727667927,31,6.058230243420243,22,0.4054651081081646,1.0318465923558486,0.626381484247684,0.607049040902067
2009-10,Matoke,Bunch (Big),Region,Central,8.405621415759132,94,8.294049640102028,68,8.35294115793022,80,0.11157177565710441,0.0526802578289125,-0.05889151782819191,-1.1179048899010984
2009-10,Matoke,Bunch (Big),Region,Eastern,7.457061423316192,36,8.699514748210191,29,8.294049640102028,5,-1.242453324893999,-0.8369882167858353,0.4054651081081637,-0.4844334722718232
2009-10,Matoke,Bunch (Big),Region,Western,8.150208603876138,18,8.294049640102028,27,8.517193191416238,138,-0.14384103622588995,-0.36698458754010055,-0.2231435513142106,0.6080461111730683
2009-10,Matoke,Bunch (Medium),Region,Central,8.987196820661973,68,8.294049640102028,109,8.294049640102028,137,0.6931471805599454,0.6931471805599454,0.0,0.0
2009-10,Matoke,Bunch (Medium),Region,Western,8.699514748210191,29,8.517193191416238,103,8.167211787868734,330,0.18232155679395312,0.5323029603414575,0.3499814035475044,0.6574853600720182
2009-10,Matoke,Bunch (Small),Region,Central,8.083442907563875,18,8.006367567650246,90,7.824046010856292,27,0.07707533991362858,0.2593968967075826,0.182321556793954,0.7028671472484291
2009-10,Matoke,Bunch (Small),Region,Western,8.006367567650246,15,8.006367567650246,136,8.006367567650246,62,0.0,0.0,0.0,
2009-10,Millet,Kg,Region,Eastern,7.090076835776092,20,6.907755278982137,55,6.684611727667927,14,0.1823215567939549,0.4054651081081646,0.2231435513142097,0.5503397132132081
2009-10,Millet,Kg,Region,Northern,7.110487833036219,12,6.907755278982137,14,6.551080335043404,13,0.20273255405408186,0.5594074979928143,0.35667494393873245,0.6375941424069257
2009-10,Millet,Kg,Region,Western,7.24422751560335,30,6.907755278982137,63,6.551080335043404,9,0.33647223662121295,0.6931471805599454,0.35667494393873245,0.5145731728297582
2009-10,Rice,Kg,Region,Eastern,7.495541943884256,160,7.16715217568972,12,7.090076835776092,13,0.328389768194536,0.4054651081081646,0.07707533991362858,0.19009117769282244
2009-10,Sorghum,Kg,Region,Eastern,6.396929655216146,30,6.396929655216146,63,5.991464547107982,11,0.0,0.4054651081081646,0.4054651081081646,1.0
2009-10,Sorghum,Kg,Region,Northern,6.907755278982137,17,6.802394763324311,31,5.298317366548036,27,0.10536051565782589,1.6094379124341005,1.5040773967762746,0.9345358308985778
2009-10,Sweet Bananas,Bunch (Big),Region,Western,6.214608098422191,40,6.214608098422191,21,8.85366542803745,28,0.0,-2.639057329615259,-2.639057329615259,1.0
2009-10,Sweet Potatoes,Plastic Basin (15 lts),Region,Western,8.517193191416238,12,8.411832675758411,53,8.517193191416238,37,0.10536051565782678,0.0,-0.10536051565782678,
2010-11,Beans,Kg,Region,Central,7.495541943884256,307,7.24422751560335,171,6.907755278982137,17,0.25131442828090655,0.5877866649021195,0.33647223662121295,0.5724393844104028
2010-11,Beans,Kg,Region,Eastern,7.495541943884256,107,7.090076835776092,84,6.907755278982137,71,0.4054651081081646,0.5877866649021195,0.1823215567939549,0.31018321387797354
2010-11,Beans,Kg,Region,Western,7.24422751560335,56,7.090076835776092,119,6.907755278982137,93,0.15415067982725805,0.33647223662121295,0.1823215567939549,0.5418621120862499
2010-11,Ground Nuts,Kg,Region,Eastern,8.101218399696036,68,8.006367567650246,42,6.705022724928055,20,0.0948508320457897,1.3961956747679807,1.301344842722191,0.9320648002569182
2010-11,Ground Nuts,Kg,Region,Western,8.006367567650246,50,8.006367567650246,14,7.824046010856292,5,0.0,0.182321556793954,0.182321556793954,1.0
2010-11,Maize,Kg,Region,Central,7.313220387090301,429,7.090076835776092,73,6.173786103901937,17,0.2231435513142097,1.1394342831883648,0.9162907318741551,0.8041628599327295
2010-11,Maize,Kg,Region,Eastern,7.170119543449628,147,6.907755278982137,115,5.703782474656201,154,0.2623642644674913,1.4663370687934272,1.203972804325936,0.8210750651735367
2010-11,Maize,Kg,Region,Northern,7.345489647659087,54,6.599662209270228,12,5.703782474656201,20,0.7458274383888588,1.641707173002886,0.8958797346140273,0.5457000793724694
2010-11,Maize,Kg,Region,Western,7.090076835776092,140,6.907755278982137,41,5.703782474656201,17,0.1823215567939549,1.3862943611198908,1.203972804325936,0.8684827970831029
2010-11,Matoke,Bunch (Big),Region,Central,9.615805480084347,34,8.699514748210191,41,8.517193191416238,81,0.916290731874156,1.0986122886681091,0.18232155679395312,0.16595623285352898
2010-11,Matoke,Bunch (Medium),Region,Central,9.046088338490165,68,8.517193191416238,127,8.411832675758411,113,0.5288951470739267,0.6342556627317535,0.10536051565782678,0.16611679145919905
2010-11,Matoke,Bunch (Medium),Region,Eastern,9.210340371976184,13,8.517193191416238,58,8.517193191416238,60,0.6931471805599454,0.6931471805599454,0.0,0.0
2010-11,Matoke,Bunch (Medium),Region,Western,8.608353969813216,28,8.294049640102028,183,8.111728083308073,391,0.31430432971118805,0.49662588650514294,0.1823215567939549,0.36712052623150326
2010-11,Matoke,Bunch (Small),Region,Central,8.517193191416238,29,8.006367567650246,70,8.006367567650246,29,0.5108256237659923,0.5108256237659923,0.0,0.0
2010-11,Matoke,Bunch (Small),Region,Western,8.006367567650246,21,8.006367567650246,87,7.600902459542082,47,0.0,0.4054651081081637,0.4054651081081637,1.0
2010-11,Millet,Kg,Region,Eastern,6.998916057379114,24,6.907755278982137,33,6.476972362889683,19,0.09116077839697745,0.5219436944894316,0.4307829160924541,0.8253436541921414
2010-11,Sorghum,Kg,Region,Eastern,6.907755278982137,23,6.396929655216146,31,5.857933154483459,15,0.5108256237659905,1.0498221244986778,0.5389965007326873,0.5134169762235432
2010-11,Sorghum,Kg,Region,Northern,6.907755278982137,11,6.551080335043404,18,5.298317366548036,7,0.35667494393873245,1.6094379124341005,1.252762968495368,0.7783853970487745
2010-11,Sweet Bananas,Bunch (Small),Region,Central,6.561181688702164,10,6.907755278982137,11,6.907755278982137,15,-0.3465735902799727,-0.3465735902799727,0.0,-0.0
2011-12,Beans,Kg,Region,Central,7.600902459542082,296,7.313220387090301,234,6.907755278982137,120,0.2876820724517808,0.6931471805599454,0.4054651081081646,0.5849625007211564
2011-12,Beans,Kg,Region,Eastern,7.600902459542082,122,7.090076835776092,121,6.907755278982137,106,0.5108256237659905,0.6931471805599454,0.1823215567939549,0.26303440583379417
2011-12,Beans,Kg,Region,Western,7.495541943884256,78,7.313220387090301,151,6.907755278982137,153,0.1823215567939549,0.5877866649021195,0.4054651081081646,0.6898167861220265
2011-12,Ground Nuts,Kg,Region,Central,8.294049640102028,276,8.070906088787819,42,6.214608098422191,5,0.22314355131420882,2.079441541679836,1.8562979903656274,0.8926906350375463
2011-12,Ground Nuts,Kg,Region,Eastern,8.294049640102028,49,7.824046010856292,26,6.907755278982137,21,0.4700036292457357,1.3862943611198908,0.9162907318741551,0.6609640474436811
2011-12,Ground Nuts,Kg,Region,Western,8.294049640102028,89,8.006367567650246,38,7.696212639346407,19,0.2876820724517817,0.5978370007556206,0.31015492830383895,0.5187951363194762
2011-12,Maize,Kg,Region,Central,7.600902459542082,433,7.313220387090301,89,6.214608098422191,84,0.2876820724517808,1.3862943611198908,1.09861228866811,0.7924812503605783
2011-12,Maize,Kg,Region,Eastern,7.313220387090301,178,7.090076835776092,130,6.214608098422191,166,0.2231435513142097,1.09861228866811,0.8754687373539003,0.7968859864249878
2011-12,Maize,Kg,Region,Northern,7.3777589082278725,87,7.313220387090301,41,6.396929655216146,32,0.06453852113757108,0.9808292530117262,0.9162907318741551,0.9342000445649438
2011-12,Maize,Kg,Region,Western,7.600902459542082,185,7.090076835776092,37,6.214608098422191,64,0.5108256237659905,1.3862943611198908,0.8754687373539003,0.6315172029168971
2011-12,Matoke,Bunch (Big),Region,Central,9.615805480084347,54,8.987196820661973,37,8.85366542803745,70,0.6286086594223743,0.762140052046897,0.13353139262452274,0.175205846046136
2011-12,Matoke,Bunch (Medium),Region,Central,8.517193191416238,63,8.294049640102028,118,8.294049640102028,152,0.2231435513142106,0.2231435513142106,0.0,0.0
2011-12,Matoke,Bunch (Medium),Region,Eastern,8.85366542803745,13,8.517193191416238,63,8.517193191416238,39,0.33647223662121206,0.33647223662121206,0.0,0.0
2011-12,Matoke,Bunch (Medium),Region,Western,8.699514748210191,38,8.517193191416238,187,8.517193191416238,317,0.18232155679395312,0.18232155679395312,0.0,0.0
2011-12,Matoke,Bunch (Small),Region,Central,8.411832675758411,11,8.006367567650246,73,7.824046010856292,22,0.4054651081081655,0.5877866649021195,0.182321556793954,0.31018321387797204
2011-12,Matoke,Bunch (Small),Region,Western,8.006367567650246,14,8.006367567650246,124,8.294049640102028,22,0.0,-0.2876820724517817,-0.2876820724517817,1.0
2011-12,Millet,Kg,Region,Eastern,7.313220387090301,27,6.907755278982137,22,6.907755278982137,30,0.4054651081081646,0.4054651081081646,0.0,0.0
2011-12,Millet,Kg,Region,Western,7.600902459542082,35,7.313220387090301,59,6.684611727667927,6,0.2876820724517808,0.9162907318741551,0.6286086594223743,0.6860362519837301
2011-12,Rice,Kg,Region,Eastern,7.8632667240095735,108,7.783224016336037,13,7.600902459542082,18,0.08004270767353638,0.2623642644674913,0.1823215567939549,0.6949176449925626
2011-12,Sorghum,Kg,Region,Eastern,6.907755278982137,14,6.684611727667927,27,6.449609913045059,16,0.2231435513142097,0.458145365937078,0.2350018146228683,0.5129415947320607
2011-12,Sorghum,Kg,Region,Northern,6.907755278982137,20,6.907755278982137,19,6.214608098422191,20,0.0,0.6931471805599454,0.6931471805599454,1.0
2011-12,Sweet Bananas,Bunch (Small),Region,Central,6.540770691442036,16,7.313220387090301,23,7.051596315208027,8,-0.7724496956482652,-0.5108256237659905,0.26162407188227466,-0.5121592569172387
