country,u,kg_per_unit
Malawi,heaplarge,0.3393939393939394
Malawi,heard,0.49354221829949985
Malawi,insmallpape,0.09618750000000001
Malawi,jar,1.5
Malawi,jiggies,0.18666666666666668
Malawi,juicebox,0.30984555984555984
Malawi,jumbo,0.6976744186046513
Malawi,k100packetp,0.2
Malawi,k100tube,0.18181818181818182
Malawi,k20 packet,0.12919999999999998
Malawi,k40 packet,0.3092
Malawi,k5 packet,0.03155956362478102
Malawi,k50,0.07142857142857142
Malawi,k50packet,0.1607712765957447
Malawi,kamba packet,0.09438987344326713
Malawi,kampango big,1.74
Malawi,kg packet,2.8079999685287476
Malawi,khofi,0.17431578947368417
Malawi,khofi plate,0.23529850746268655
Malawi,kipsmedium,3.78
Malawi,kkilogram,0.3240000009536743
Malawi,krate,28.679497319504474
Malawi,lajaandonga,0.3787781350482315
Malawi,large packet,0.638913532672761
Malawi,largetubbe,0.4
Malawi,lichero,1.6834782608695655
Malawi,lipoko,0.3643835616438357
Malawi,litre container,2.3026315789473686
Malawi,loaf,0.75
Malawi,loaves,0.75
Malawi,lunch box,0.8147783251231526
Malawi,mango,0.34285714285714286
Malawi,mbale,0.30999999999999994
Malawi,meal,1.1464285714285714
Malawi,meals,1.0095498024614262
Malawi,meals at work,1.4285714285714286
Malawi,meals eaten at restaurant,4.729288975864319
Malawi,medium bottle,0.3321669035503692
Malawi,medium packet,0.08333333333333333
Malawi,medium sachet,0.20257235184995745
Malawi,medium tin,1.9708306966393785
Malawi,medium tins,0.4525714281464917
Malawi,mediumbottle,1.1016393442622952
Malawi,mediumtin,2.1690140845070425
Malawi,mice,0.13883333333333334
Malawi,miligram,0.013037037037037038
Malawi,mililitres (500),1.629032258064516
Malawi,milltre,0.0006122448979591836
Malawi,milters,0.0010200000107288359
Malawi,mitanda,0.42338709677419356
Malawi,mkoko,1.4000000000000001
Malawi,mlamba,0.6285714285714286
Malawi,mulingo,0.9950467289719627
Malawi,n/a,0.5708571497235979
Malawi,n0. 24 plate,1.141304347826087
Malawi,ndowa,4.75
Malawi,no 10 plate,0.3157894736842105
Malawi,no 12 plate,0.2450000023841858
Malawi,no. 10 plate,0.24342105263157893
Malawi,no. 12 plate,0.198
Malawi,no. 24 plate,0.8152173913043479
Malawi,no.10 plate (flat),0.23333333333333334
Malawi,no.10 plate (heaped),0.2777777777777778
Malawi,no.12 plate,0.36809815950920244
Malawi,no.24 plate,1.08
Malawi,no10plate,0.084
Malawi,nsiam and beef,1.4285714285714286
Malawi,nsima and meat,1.5
Malawi,nsima and ndiwo,1.5450643776824036
Malawi,nsima plate,1.0271951219512196
Malawi,nsima plate (phazi),0.21818181818181817
Malawi,nsima with chicken,0.4943895978810499
Malawi,one cup,0.3125
Malawi,one piece,0.375
Malawi,one plate,0.6208304969366917
Malawi,onelittle,2.7441818181818176
Malawi,other,0.09090909090909091
Malawi,other (specify),0.4639175257731959
Malawi,otherbucket,1.375
Malawi,ox-cart (unshelled),0.5343379446640316
Malawi,oxcart,1.1666666666666667
Malawi,pack,0.8181818181818181
Malawi,packerts,0.17694914800935488
Malawi,packet,1.0080000102519988
Malawi,packet (large),1.0335276279575172
Malawi,packet (small),0.15000000596046448
Malawi,packet kamba,0.07028571379428
Malawi,packet large,2.9144323826793874
Malawi,packet mdium,0.1351648351374835
Malawi,packet medium,0.2460000067949295
Malawi,packet unspecified,0.15725000016391277
Malawi,packet(small),0.36
Malawi,packets,3.095669934640523
Malawi,packeys,0.04
Malawi,packket,0.0875
Malawi,pail,2.0
Malawi,pail (large),4.47
Malawi,pail (medium),3.5714285714285716
Malawi,pail (small),1.8377192982456139
Malawi,pail (unspecified),6.900000125169754
Malawi,pail large,2.4929378531073447
Malawi,pail small,1.4642857142857144
Malawi,pail(small),0.8772696245733789
Malawi,pani,0.5559999942779541
Malawi,paper bag,0.24084705882352941
Malawi,piece,0.10357142857142858
Malawi,piece (large),0.176
Malawi,piece (medium),0.10997732426303855
Malawi,piece (small),0.075
Malawi,piece medium,0.10553846153846155
Malawi,piece(medium),0.04761904761904762
Malawi,pieces,0.3160673515981735
Malawi,pieces of chicken,0.2226122448979592
Malawi,pinch,0.013333333333333336
Malawi,plastic,0.38725490196078427
Malawi,plastic container,0.734823296267753
Malawi,plate,0.7000000000000001
Malawi,plate (small),0.30800000000000005
Malawi,plate mushroom,0.4493695070691632
Malawi,plate of chicken and chips,1.5672963400236128
