country,u,kg_per_unit
Malawi,no.24 plate,0.8250000000000001
Malawi,no10plate,0.084
Malawi,nsiam and beef,1.4285714285714286
Malawi,nsima and meat,1.5
Malawi,nsima and ndiwo,1.5450643776824036
Malawi,nsima plate,1.0271951219512196
Malawi,nsima plate (phazi),0.21818181818181817
Malawi,nsima with chicken,49.43895978810499
Malawi,one cup,0.3125
Malawi,one piece,0.375
Malawi,one plate,0.6208304969366917
Malawi,onelittle,2.7441818181818176
Malawi,other,0.25
Malawi,other (specify),0.9090909090909091
Malawi,otherbucket,2.75
Malawi,ox-cart (unshelled),0.5343379446640316
Malawi,oxcart,1.1666666666666667
Malawi,pack,0.8181818181818181
Malawi,packerts,0.5308474440280646
Malawi,packet,1.0706199460916443
Malawi,packet (large),1.0335276279575172
Malawi,packet (small),0.27749999053776264
Malawi,packet kamba,0.07028571379428
Malawi,packet large,2.9144323826793874
Malawi,packet mdium,0.1351648351374835
Malawi,packet medium,0.2460000067949295
Malawi,packet unspecified,0.41399999856948855
Malawi,packet(small),0.66
Malawi,packets,1.589014598540146
Malawi,packeys,0.08
Malawi,packket,0.175
Malawi,pail,2.0487804878048785
Malawi,pail (large),4.666666666666667
Malawi,pail (medium),3.75
Malawi,pail (small),2.0
Malawi,pail (unspecified),6.900000125169754
Malawi,pail large,1.9375
Malawi,pail small,1.380952380952381
Malawi,pail(small),0.8772696245733789
Malawi,pani,1.1119999885559082
Malawi,paper bag,0.25
Malawi,piece,0.5
Malawi,piece (large),0.5714285714285714
Malawi,piece (medium),0.43700000000000006
Malawi,piece (small),0.3333333333333333
Malawi,piece medium,0.15269709543568466
Malawi,piece(medium),0.2857142857142857
Malawi,pieces,0.944634703196347
Malawi,pieces of chicken,1.113061224489796
Malawi,pinch,0.09333333333333334
Malawi,plastic,0.9950980392156863
Malawi,plastic container,0.734823296267753
Malawi,plate,1.337162162162162
Malawi,plate (small),0.378
Malawi,plate mushroom,0.4493695070691632
Malawi,plate of chicken and chips,1.5672963400236128
Malawi,plate of nsima,0.7499999999999999
Malawi,plate of nsima with beef,1.7011494252873565
Malawi,plate rice,1.2394957983193278
Malawi,pocket,0.11599999666213989
Malawi,polythene bag,0.29892518440463645
Malawi,polythene bag (small),0.4
Malawi,pot,2.2537932460845083
Malawi,poto,0.6666666666666666
Malawi,pqcket,3.106060606060606
Malawi,puffs,2.8518110236220475
Malawi,quarter,0.25168539580484933
Malawi,quarter kg,1.26
Malawi,quarterpaper,0.06330207305034552
Malawi,quoter bottle,0.7149846923283812
Malawi,quoter litre bottle,0.5185185185185185
Malawi,raider,1.429522481700941
Malawi,rice meal,1.5
Malawi,sachet,0.68875
Malawi,sachets / packet,0.3333333333333333
Malawi,sachetubelarge,0.33962264150943394
Malawi,sachetubesmall,0.275
Malawi,sachey,0.15000000596046448
Malawi,satchet,0.18847352395133704
Malawi,satchet (large),0.66
Malawi,satchet (medium),0.5177837116154873
Malawi,satchet (small),0.46916606584955545
Malawi,satchet/tube,0.23684210196096145
Malawi,satchet/tube (large),0.5784051724137931
Malawi,satchet/tube (medium),0.4605479452054794
Malawi,satchet/tube (small),0.32731360946745564
Malawi,satchet/tube/packet,0.3820820298922488
Malawi,satchetofraja,0.28
Malawi,satchettube,1.05
Malawi,saxhet,0.6169665809768637
Malawi,saxhwt,1.25
Malawi,scones,1.75
Malawi,scud,1.773382064504325
Malawi,serving,0.8000000317891439
Malawi,servong,0.6959999799728394
Malawi,seventeabag,0.13440000000000002
Malawi,slice,3.7393617021276597
Malawi,small,0.215
Malawi,small bottle,0.8000000317891439
Malawi,small box tea bags,0.618989835898067
Malawi,small container,2.0998095090336975
