country,u,n_rows,n_distinct_j,n_j_with_factor,kg_per_unit_pooled_old,kg_per_unit_pooled_new,kg_per_j_min,kg_per_j_p25,kg_per_j_median,kg_per_j_p75,kg_per_j_max,ratio_max_min
Malawi,Bottles,91,10,3,1.407857142857143,0.44000000000000006,0.105,0.19,0.275,0.4610294117647059,0.6470588235294118,6.162464985994398
Malawi,Small Packet,23,9,1,0.22648795360238827,0.12036097242603096,0.01625,0.01625,0.01625,0.01625,0.01625,
Malawi,Bundle,46,9,2,0.36105768783734393,0.1215,0.21000000000000002,0.21962499976158145,0.22924999952316286,0.23887499928474426,0.2484999990463257,1.183333328792027
Malawi,Table Spoon,46,8,2,0.25,0.20000000794728595,0.024305555555555556,0.058229165772597,0.09215277598963843,0.12607638620667988,0.1599999964237213,6.58285699571882
Malawi,Wrapped In Paper,243,8,3,0.155,0.14012738853503184,0.11160714285714286,0.11830357142857142,0.125,0.12916666666666665,0.13333333333333333,1.1946666666666665
Malawi,N/A,26,8,1,1.1282143080660276,0.5708571497235979,0.5729088123771879,0.5729088123771879,0.5729088123771879,0.5729088123771879,0.5729088123771879,
Malawi,No. 10 Plate,21,7,2,0.2674131274131274,0.24342105263157893,0.02,0.04625,0.0725,0.09875,0.125,6.25
Malawi,Satchet (Small),24,7,3,0.46916606584955545,0.20916666666666667,0.044642857142857144,0.04732142857142857,0.05,0.09018568086333709,0.13037136172667418,2.920318502677502
Malawi,No. 12 Plate,14,6,0,0.30800000000000005,0.198,,,,,,
Malawi,"Heap (Medium, special)",68,6,1,1.1476860583200348,0.4045979020979021,0.16,0.16,0.16,0.16,0.16,
Malawi,Slice,22,6,1,3.7393617021276597,3.1799999999999997,5.2,5.2,5.2,5.2,5.2,
Malawi,Satchet (Medium),75,5,3,0.5177837116154873,0.19868835257082898,0.049107142857142856,0.09122023809523809,0.13333333333333333,0.14166666666666666,0.15,3.0545454545454547
Malawi,Dozen,24,5,2,1.3949999809265137,1.1285377358490565,0.8220000006258488,0.8860312553588301,0.9500625100918114,1.0140937648247927,1.078125019557774,1.3115876140351808
Malawi,"Heap (Large, special)",83,5,1,0.8291666666666667,0.36250000000000004,0.16,0.16,0.16,0.16,0.16,
Malawi,Small Bottle,7,5,0,0.8000000317891439,0.8000000317891439,,,,,,
Malawi,Polythene Bag (Small),13,5,1,0.4,0.35294117647058826,0.34500000000000003,0.34500000000000003,0.34500000000000003,0.34500000000000003,0.34500000000000003,
Malawi,Tray,17,5,1,3.7037037037037037,3.2941176470588234,1.6208333333333333,1.6208333333333333,1.6208333333333333,1.6208333333333333,1.6208333333333333,
Malawi,Tina (Small),18,5,1,0.35416666666666663,0.2801513128615932,0.34500000000000003,0.34500000000000003,0.34500000000000003,0.34500000000000003,0.34500000000000003,
Malawi,Jumbo,42,4,2,0.8615384615384616,0.6976744186046513,0.19,0.28250000000000003,0.375,0.4675,0.56,2.947368421052632
Malawi,Tube,9,4,1,0.4,0.26666666666666666,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,
Malawi,N0. 24 Plate,9,4,0,1.141304347826087,1.141304347826087,,,,,,
Malawi,No.24 Plate,5,4,0,0.8250000000000001,1.08,,,,,,
Malawi,Mango,20,4,2,0.5050602409638554,0.34285714285714286,0.5633136094674557,0.9724852071005918,1.3816568047337279,1.7908284023668641,2.2,3.9054621848739495
Malawi,Cluster,2031,4,2,0.6,0.5138095238095238,1.6899408284023671,1.8341222879684422,1.978303747534517,2.122485207100592,2.266666666666667,1.3412698412698412
Malawi,Packet Medium,16,4,1,0.2460000067949295,0.2460000067949295,0.05,0.05,0.05,0.05,0.05,
Malawi,Heap(Small),6,4,0,0.5277272727272726,0.4442857142857143,,,,,,
Malawi,Small Tin,9,4,0,1.5492957746478875,1.550058019778131,,,,,,
Malawi,Ndowa,3,3,0,4.75,4.75,,,,,,
Malawi,Piece Medium,7,3,0,0.15269709543568466,0.10553846153846155,,,,,,
Malawi,Sachet,12,3,1,0.68875,0.20823529411764707,0.23750000000000002,0.23750000000000002,0.23750000000000002,0.23750000000000002,0.23750000000000002,
Malawi,Bucket,3,3,0,2.0,2.0,,,,,,
Malawi,Small Sachet,3,3,0,0.15727902499913451,0.07863951249956726,,,,,,
Malawi,Plate (Small),9,3,1,0.378,0.30800000000000005,0.25,0.25,0.25,0.25,0.25,
Malawi,Plastic,3,3,0,0.9950980392156863,0.38725490196078427,,,,,,
Malawi,Bale,3,3,0,1.1801652892561985,0.18674698795180725,,,,,,
Malawi,Tina Flat,9,3,1,0.3428571479661124,0.3428571479661124,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,
Malawi,Packet (Large),4,3,0,1.0335276279575172,1.0335276279575172,,,,,,
Malawi,Crate,11,3,0,14.285714285714286,14.285714285714286,,,,,,
Malawi,Whole Loaf Of Bread,26,2,1,1.65,0.7058823529411765,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,
