wave,basis,seed,regime,partition,status,error,n_groups,n_fit_goods,n_fit_cells,fit_coverage,score_coverage,core_complete,core_mse,core_mean_error,outside_core_coverage,outside_core_mse,scale,origin,loading_spread,nonpositive_loadings,n_unidentified_markets,core_rmse,n_train,n_evaluation,n_comparison,comparison_weight_share,n_scored,n_warnings,train_score_coverage,n_train_scored,legacy_fit_coverage,legacy_n_fit_cells,legacy_n_fit_goods,legacy_error
2019-20,total,11,substitutes,curated,ok,,72,32,1742,0.9272289702548724,0.9771663987514644,True,0.001964944310100968,0.001276352626094079,0.7967223196785485,0.014456238061390304,1.9364968886055782,0.0002888449081414368,0.4655802051707112,0,0,0.04432769236155846,1857.0,1238.0,1128.0,0.8876728561029029,1214.0,0.0,0.976137001246275,1821.0,0.8825695466850999,1664.0,32.0,
2019-20,total,11,unequal,fine,ok,,114,35,1727,0.922094790195842,0.9771663987514644,True,0.005328477476054492,-0.00345483432855669,0.7967223196785485,0.02640703381853842,1.9179253178442395,0.0009050307963137388,0.5623692320584631,0,0,0.07299642098113093,1857.0,1238.0,1128.0,0.8876728561029029,1214.0,0.0,0.9763841000029685,1822.0,0.834297241856688,1559.0,35.0,
2019-20,total,11,unequal,curated,ok,,72,32,1742,0.9272289702548724,0.9771663987514644,True,0.0038505098734688496,0.005075166632599138,0.7967223196785485,0.02661883790981068,1.8519137850499499,-0.0013739175374025778,0.49363515828058974,0,0,0.062052476771429915,1857.0,1238.0,1128.0,0.8876728561029029,1214.0,0.0,0.976137001246275,1821.0,0.8825695466850999,1664.0,32.0,
2019-20,total,12,masked,fine,ok,,114,35,1726,0.9206818272570771,0.9707411884597363,True,0.0022590790443746864,-0.0023053603594460647,0.7151661118205305,0.009830306335085456,1.9549576330056704,-0.008787814194129702,0.4505377250511748,0,0,0.04752977008543894,1857.0,1238.0,1139.0,0.8972776317899782,1211.0,0.0,0.980498024751131,1825.0,0.8293586899552956,1558.0,35.0,
2019-20,total,12,masked,curated,ok,,72,32,1741,0.9304663942186189,0.9707411884597363,True,0.0035516718301670134,-0.00022932713016853883,0.7151661118205305,0.010708452376865674,1.8086356998257722,-0.011006073991221235,0.4663557948859985,0,0,0.05959590447477925,1857.0,1238.0,1139.0,0.8972776317899782,1211.0,0.0,0.980498024751131,1825.0,0.8774051512052775,1659.0,32.0,
2019-20,total,12,substitutes,fine,ok,,114,35,1726,0.9206818272570771,0.9707411884597363,True,0.004419248007875874,-0.005064121608479946,0.7151661118205305,0.012721385511755876,1.9662272160895087,-0.00587848656709645,0.457556447103185,0,0,0.06647742479876814,1857.0,1238.0,1139.0,0.8972776317899782,1211.0,0.0,0.980498024751131,1825.0,0.8293586899552956,1558.0,35.0,
2019-20,total,12,substitutes,curated,ok,,72,32,1741,0.9304663942186189,0.9707411884597363,True,0.002108337792863806,-0.002261580332642085,0.7151661118205305,0.010443117471126988,1.8187272365387541,-0.009493970146102336,0.4653255565231715,0,0,0.045916639607704375,1857.0,1238.0,1139.0,0.8972776317899782,1211.0,0.0,0.980498024751131,1825.0,0.8774051512052775,1659.0,32.0,
2019-20,total,12,unequal,fine,ok,,114,35,1726,0.9206818272570771,0.9707411884597363,True,0.005746490593617542,-0.007723025089189982,0.7151661118205305,0.01315217274645867,1.8512452574044236,-0.005254685967663715,0.5489493058880183,0,0,0.07580561056819965,1857.0,1238.0,1139.0,0.8972776317899782,1211.0,0.0,0.980498024751131,1825.0,0.8293586899552956,1558.0,35.0,
2019-20,total,12,unequal,curated,ok,,72,32,1741,0.9304663942186189,0.9707411884597363,True,0.00433701138337708,-0.0032017133961220797,0.7151661118205305,0.014358231458219064,1.7287602719329684,-0.006407682181175881,0.48784338856430504,0,0,0.06585598973044958,1857.0,1238.0,1139.0,0.8972776317899782,1211.0,0.0,0.980498024751131,1825.0,0.8774051512052775,1659.0,32.0,
2019-20,total,13,masked,fine,ok,,114,35,1714,0.9160651786170771,0.9783561820658788,True,0.0025365248202394697,0.0001939995950415002,0.7852535873609331,0.013316090504627518,1.867766775430027,-0.0003738212610350342,0.4616422699888218,0,0,0.050363923797093785,1857.0,1238.0,1138.0,0.8992122025782153,1221.0,0.0,0.975566760577598,1815.0,0.7966769429732431,1479.0,35.0,
2019-20,total,13,masked,curated,ok,,72,33,1734,0.9267464480039204,0.9783561820658788,True,0.0034636392915993013,0.0030040066186808557,0.7852535873609331,0.01199818896400405,1.795118744608559,-0.0035432959160240306,0.4590048731509489,0,0,0.058852691455865476,1857.0,1238.0,1138.0,0.8992122025782153,1221.0,0.0,0.975566760577598,1815.0,0.8799898212805615,1649.0,33.0,
2019-20,total,13,substitutes,fine,ok,,114,35,1714,0.9160651786170771,0.9783561820658788,True,0.0046426959917655,-0.0011912456809323414,0.7852535873609331,0.021631244029716983,1.8567685126002802,0.0026395859154593406,0.46563064065512794,0,0,0.06813733185094277,1857.0,1238.0,1138.0,0.8992122025782153,1221.0,0.0,0.975566760577598,1815.0,0.7966769429732431,1479.0,35.0,
2019-20,total,13,substitutes,curated,ok,,72,33,1734,0.9267464480039204,0.9783561820658788,True,0.0021470259084402847,0.0006334576638680313,0.7852535873609331,0.010483397716745085,1.7872742707002507,-0.001820915899259456,0.4573280322305961,0,0,0.046336010924984516,1857.0,1238.0,1138.0,0.8992122025782153,1221.0,0.0,0.975566760577598,1815.0,0.8799898212805615,1649.0,33.0,
2019-20,total,13,unequal,fine,ok,,114,35,1714,0.9160651786170771,0.9783561820658788,True,0.0054925632631916965,-0.001561088107083022,0.7852535873609331,0.02129982819708089,1.7807904361332925,-0.0028644261474552466,0.5578611176561558,0,0,0.07411182944167345,1857.0,1238.0,1138.0,0.8992122025782153,1221.0,0.0,0.975566760577598,1815.0,0.7966769429732431,1479.0,35.0,
2019-20,total,13,unequal,curated,ok,,72,33,1734,0.9267464480039204,0.9783561820658788,True,0.0038440217270352788,-0.0007044833973081167,0.7852535873609331,0.029983816155850575,1.7181175368125945,-0.00437114593331038,0.4732308793820232,0,0,0.06200017521777885,1857.0,1238.0,1138.0,0.8992122025782153,1221.0,0.0,0.975566760577598,1815.0,0.8799898212805615,1649.0,33.0,
