seed,regime,partition,status,error,n_groups,n_fit_goods,n_fit_cells,fit_coverage,score_coverage,core_complete,core_mse,core_mean_error,outside_core_coverage,outside_core_mse,scale,origin,loading_spread,nonpositive_loadings,n_unidentified_markets,core_rmse
12,unreported,broad_pool,ok,,3,3,271,0.9409722222222222,0.9114583333333334,True,0.034209511793371214,0.0031990626575904083,0.7166666666666667,0.13219911994273262,0.21281501884083312,0.2712193784143121,0.9617588562986039,0,0,0.18495813524517166
13,complete,fine,ok,,10,10,288,1.0,1.0,True,0.008175460418021103,-0.0016214067668314388,1.0,0.004991440731221878,0.4297620703402377,-0.026175195314627177,0.3733150873330083,0,0,0.09041825268175173
13,complete,rare_pool,ok,,5,5,288,1.0,1.0,True,0.010467434732612085,0.0014866919609026012,1.0,0.007981129800284283,0.30956645164990165,-0.04141719311229961,0.5211079276177815,0,0,0.10231048202707328
13,complete,broad_pool,ok,,3,3,288,1.0,1.0,True,0.02451131597257553,0.008755423740250798,1.0,0.022252502648746002,0.19807184318669654,-0.06697488767632885,0.2762755549895889,0,0,0.1565609018004672
13,substitutes,fine,ok,,10,5,239,0.8298611111111112,0.7239583333333334,True,0.01035139325256176,-0.003537132819162875,0.11666666666666667,0.06284444497542592,0.32544224381814946,0.003554283023851449,0.5884612724259869,0,0,0.10174179697922461
13,substitutes,rare_pool,ok,,5,5,288,1.0,1.0,True,0.01045349484449015,0.0032344413238933898,1.0,0.03549517245688456,0.3197280729790196,-0.003853123487253917,0.552415815428386,0,0,0.10224233391550758
13,substitutes,broad_pool,ok,,3,3,288,1.0,1.0,True,0.01741257495230614,0.0007633065434563423,1.0,0.30429284088283076,0.19698175241082416,0.6410585101308215,0.8196638202133025,0,0,0.13195671620764948
13,unequal,fine,ok,,10,5,239,0.8298611111111112,0.7239583333333334,True,0.009542382709690947,-0.006423869983110978,0.11666666666666667,0.01534487918046645,0.48143693500305823,0.012469097977014565,1.0161463859813444,0,0,0.09768512020615497
13,unequal,rare_pool,ok,,5,5,288,1.0,1.0,True,0.01334977939620568,0.006305049669887125,1.0,0.05803519867696583,0.3398785930045041,-0.023176852095339026,0.6422396049220339,0,0,0.11554124543298674
13,unequal,broad_pool,ok,,3,3,288,1.0,1.0,True,0.02035463521557221,0.00558546310792212,1.0,0.2747997173908184,0.21027280135795515,0.5225877018749809,0.9198656087651007,0,0,0.1426696716740184
13,unreported,fine,ok,,10,5,239,0.8298611111111112,0.7447916666666666,True,0.011466668859818296,-0.0017947262304977957,0.18333333333333332,0.07728841428404136,0.3094866325572942,0.00020837397978772025,0.55319729580931,0,0,0.10708253293520048
13,unreported,rare_pool,ok,,5,5,270,0.9375,0.9114583333333334,True,0.015540417690425619,-0.007445028811812493,0.7166666666666667,0.1007023782834023,0.3306727890737557,-0.039865521290954296,0.6186593535348005,0,0,0.12466121165152222
13,unreported,broad_pool,ok,,3,3,270,0.9375,0.9114583333333334,True,0.030622960442520164,0.003323927451393706,0.7166666666666667,0.19142987406095743,0.21904222329728731,0.2670457255776684,0.8086811985728545,0,0,0.17499417259589006
